keyword_name,lowest_lag_after_diff_Google_grangerCauses_Wikipedia
3G,5.0
9-Euro-Ticket,7.0
A1,5.0
A2,6.0
A3,6.0
A8,4.0
Abgeordnete,2.0
Abramowitsch,1.0
Abschluss,1.0
Absturz,7.0
Achtung,7.0
Adler,3.0
Affenpocken,7.0
Afghanistan,3.0
Afrika,4.0
Ahrtal,6.0
Aiwanger,3.0
Aktien,5.0
Aktion,5.0
All,3.0
Alles,4.0
Alltag,6.0
Alpen,4.0
Als,4.0
Alter,3.0
Altkanzler,3.0
Amazon,3.0
Ampel,3.0
Amt,4.0
Analyse,5.0
Andreas,3.0
Andrew,1.0
Anfang,6.0
Angebot,3.0
Anhänger,4.0
Anklage,7.0
Anstieg,4.0
Antisemitismus,4.0
Antrag,5.0
App,3.0
Appell,1.0
April,1.0
Arbeiten,6.0
Armee,7.0
Art,3.0
Arzt,5.0
Atomkraft,5.0
Auch,3.0
Audi,3.0
Aufklärung,5.0
Aufnahme,3.0
Auge,5.0
Augsburg,7.0
Ausbildung,5.0
Auseinandersetzung,5.0
Ausgleich,7.0
Ausland,6.0
Aussage,6.0
Ausstellung,3.0
Australien,5.0
Auto,7.0
Autobahn,3.0
Autounfall,6.0
Außenministerin,1.0
Baby,5.0
Bach,3.0
Baden-Württemberg,6.0
Baerbock,7.0
Bahnhof,3.0
Barça,4.0
Bau,6.0
Bauer,6.0
Baum,3.0
Baumgart,6.0
Baustelle,4.0
Beamte,6.0
Becker,2.0
Behörde,6.0
Behörden,1.0
Belarus,5.0
Benedikt,4.0
Benzin,5.0
Berg,4.0
Bericht,7.0
Berlin,5.0
Berlinale,6.0
Beschäftigte,1.0
Besitzer,4.0
Besuch,3.0
Betrieb,6.0
Betrug,7.0
Bewohner,7.0
Beziehung,3.0
Biden,7.0
Bier,5.0
Biker,4.0
Bild,3.0
Bilder,5.0
Bitte,4.0
Boden,3.0
Bodensee,7.0
Bonn,6.0
Bord,7.0
Boris,3.0
Borussia,7.0
Boss,4.0
Botschaft,6.0
Botschafter,1.0
Bouffier,5.0
Brady,7.0
Brand,3.0
Brandenburg,5.0
Brandstiftung,3.0
Bremen,3.0
Brief,7.0
Bronze,3.0
Bruder,5.0
Buch,4.0
Bull,6.0
Bund,6.0
Bundesliga,1.0
Bundesländer,5.0
Bundespolizei,3.0
Bundespräsident,6.0
Bundesregierung,6.0
Bundeswehr,1.0
Bus,4.0
Busse,5.0
Butscha,1.0
Bäume,5.0
Börse,3.0
Bürger,3.0
Bürgermeister,7.0
Büro,4.0
Champions,7.0
Chance,4.0
Charkiw,6.0
Charles,4.0
Chef,5.0
Chemie,5.0
Chemnitz,5.0
China,4.0
Club,3.0
Coach,3.0
Corona-Test,5.0
Cottbus,5.0
Covid,5.0
Covid-19,6.0
Dabrowski,7.0
Dach,3.0
Daniel,3.0
Dank,4.0
Dann,6.0
Darmstadt,3.0
Daten,3.0
David,3.0
Davies,5.0
Day,5.0
Dealer,3.0
Debüt,5.0
Demokratie,4.0
Demonstration,3.0
Demos,3.0
Depp,4.0
Deutsche,3.0
Deutschland,3.0
Dienst,6.0
Diesel,5.0
Dieser,1.0
Digitalisierung,5.0
Dinge,7.0
Diskussion,6.0
Djokovic,5.0
Documenta,2.0
Dollar,3.0
Donnerstag,7.0
Dorf,3.0
Dortmund,3.0
Drama,3.0
Drei,5.0
Drogen,6.0
Drohne,4.0
Drosten,5.0
Druck,6.0
Dschungelcamp,1.0
Duisburg,6.0
Dänemark,7.0
Düsseldorf,3.0
E-Auto,1.0
E-Scooter,7.0
Ehefrau,4.0
Ei,5.0
Eier,7.0
Einkaufszentrum,4.0
Einzelhandel,2.0
Eis,3.0
Eklat,7.0
Elbe,3.0
Elon,1.0
Eltern,3.0
Endlich,2.0
Energie,3.0
Energiekosten,2.0
Energiekrise,6.0
Entwicklung,6.0
Erde,3.0
Erfolg,7.0
Ermittler,1.0
Erzgebirge,5.0
Essen,3.0
Euro,6.0
Eurojackpot,6.0
Europa,7.0
Evakuierung,3.0
Ex,5.0
Experte,3.0
Explosion,6.0
Fahndung,1.0
Fahrer,2.0
Fahrt,1.0
Fahrzeuge,3.0
Familie,3.0
