keyword_name,ADF_Statistics_wiki_before_diff,ADF_p_value_wiki_before_diff,ADF_critical_values_wiki_before_diff,ADF_Statistics_news_before_diff,ADF_p_value_news_before_diff,ADF_critical_values_news_before_diff,ADF_stationary_wiki_before_diff,ADF_stationary_news_before_diff,ADF_stationary_google_before_diff,KPSS_stationary_wiki_before_diff,KPSS_stationary_news_before_diff,KPSS_stationary_google_before_diff,ADF_Statistics_wiki_after_diff,ADF_p_value_wiki_after_diff,ADF_critical_values_wiki_after_diff,ADF_Statistics_news_after_diff,ADF_p_value_news_after_diff,ADF_critical_values_news_after_diff,ADF_stationary_wiki_after_diff,ADF_stationary_news_after_diff,ADF_stationary_google_after_diff,KPSS_stationary_wiki_after_diff,KPSS_stationary_news_after_diff,KPSS_stationary_google_after_diff,ssr_ftest_pValue_lag1_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag2_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag3_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag4_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag5_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag6_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag7_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag1_after_diff_Wikipedia_grangerCauses_News,ssr_ftest_pValue_lag2_after_diff_Wikipedia_grangerCauses_News,ssr_ftest_pValue_lag3_after_diff_Wikipedia_grangerCauses_News,ssr_ftest_pValue_lag4_after_diff_Wikipedia_grangerCauses_News,ssr_ftest_pValue_lag5_after_diff_Wikipedia_grangerCauses_News,ssr_ftest_pValue_lag6_after_diff_Wikipedia_grangerCauses_News,ssr_ftest_pValue_lag7_after_diff_Wikipedia_grangerCauses_News,ssr_ftest_pValue_lag1_after_diff_News_grangerCauses_Google,ssr_ftest_pValue_lag2_after_diff_News_grangerCauses_Google,ssr_ftest_pValue_lag3_after_diff_News_grangerCauses_Google,ssr_ftest_pValue_lag4_after_diff_News_grangerCauses_Google,ssr_ftest_pValue_lag5_after_diff_News_grangerCauses_Google,ssr_ftest_pValue_lag6_after_diff_News_grangerCauses_Google,ssr_ftest_pValue_lag7_after_diff_News_grangerCauses_Google,ssr_ftest_pValue_lag1_after_diff_Google_grangerCauses_News,ssr_ftest_pValue_lag2_after_diff_Google_grangerCauses_News,ssr_ftest_pValue_lag3_after_diff_Google_grangerCauses_News,ssr_ftest_pValue_lag4_after_diff_Google_grangerCauses_News,ssr_ftest_pValue_lag5_after_diff_Google_grangerCauses_News,ssr_ftest_pValue_lag6_after_diff_Google_grangerCauses_News,ssr_ftest_pValue_lag7_after_diff_Google_grangerCauses_News,ssr_ftest_pValue_lag1_after_diff_Google_grangerCauses_Wikipedia,ssr_ftest_pValue_lag2_after_diff_Google_grangerCauses_Wikipedia,ssr_ftest_pValue_lag3_after_diff_Google_grangerCauses_Wikipedia,ssr_ftest_pValue_lag4_after_diff_Google_grangerCauses_Wikipedia,ssr_ftest_pValue_lag5_after_diff_Google_grangerCauses_Wikipedia,ssr_ftest_pValue_lag6_after_diff_Google_grangerCauses_Wikipedia,ssr_ftest_pValue_lag7_after_diff_Google_grangerCauses_Wikipedia,ssr_ftest_pValue_lag1_after_diff_Wikipedia_grangerCauses_Google,ssr_ftest_pValue_lag2_after_diff_Wikipedia_grangerCauses_Google,ssr_ftest_pValue_lag3_after_diff_Wikipedia_grangerCauses_Google,ssr_ftest_pValue_lag4_after_diff_Wikipedia_grangerCauses_Google,ssr_ftest_pValue_lag5_after_diff_Wikipedia_grangerCauses_Google,ssr_ftest_pValue_lag6_after_diff_Wikipedia_grangerCauses_Google,ssr_ftest_pValue_lag7_after_diff_Wikipedia_grangerCauses_Google,lowest_lag_after_diff_News_grangerCauses_Wikipedia,lowest_lag_after_diff_Wikipedia_grangerCauses_News,lowest_lag_after_diff_News_grangerCauses_Google,lowest_lag_after_diff_Google_grangerCauses_News,lowest_lag_after_diff_Google_grangerCauses_Wikipedia,lowest_lag_after_diff_Wikipedia_grangerCauses_Google
2G,-3.704932851827425,0.004044301754108595,"{'1%': -3.4698858990744115, '5%': -2.8789026251889647, '10%': -2.5760266680839004}",-3.262588509122408,0.016635868591319044,"{'1%': -3.47086589632514, '5%': -2.879330279087651, '10%': -2.57625492712671}",True,False,True,False,False,False,-6.4374314531212935,1.6395754918997536e-08,"{'1%': -3.4698858990744115, '5%': -2.8789026251889647, '10%': -2.5760266680839004}",-4.015556347794265,0.0013312088139345504,"{'1%': -3.47086589632514, '5%': -2.879330279087651, '10%': -2.57625492712671}",True,True,True,True,False,True,0.148,0.0042,0.2201,0.6275,0.3301,0.0528,0.0111,0.0823,0.0003,0.0031,0.195,0.2073,0.4842,0.349,0.4462,0.0,0.0,0.0,0.0053,0.0017,0.0577,0.2809,0.0017,0.0,0.0717,0.0133,0.1698,0.0077,0.1967,0.0068,0.0,0.0,0.0389,0.0008,0.0,0.5738,0.0262,0.008,0.0313,0.8031,0.847,0.4845,2.0,2.0,2.0,3.0,3.0,3.0
3G,-1.8002188495720395,0.38035304628278827,"{'1%': -3.471118535474365, '5%': -2.8794405060097024, '10%': -2.576313761526591}",-0.9058702938092132,0.7860330989497528,"{'1%': -3.47086589632514, '5%': -2.879330279087651, '10%': -2.57625492712671}",False,False,False,False,False,False,-6.859247420772476,1.6183568259820032e-09,"{'1%': -3.471118535474365, '5%': -2.8794405060097024, '10%': -2.576313761526591}",-5.006900341652894,2.1505766440558736e-05,"{'1%': -3.47086589632514, '5%': -2.879330279087651, '10%': -2.57625492712671}",True,True,True,True,True,True,0.1333,0.0594,0.2281,0.2928,0.502,0.0314,0.0542,0.7144,0.0049,0.0007,0.0157,0.0387,0.1167,0.0542,0.7347,0.5955,0.0224,0.0021,0.0095,0.0005,0.0003,0.1034,0.0124,0.001,0.009,0.0193,0.0012,0.0001,0.0547,0.0057,0.0085,0.0,0.0312,0.0219,0.0022,0.773,0.5988,0.4939,0.0134,0.0424,0.0085,0.0046,6.0,3.0,7.0,7.0,4.0,7.0
9-Euro-Ticket,-1.6525227884870328,0.4557250499329896,"{'1%': -3.4703698981001665, '5%': -2.8791138497902193, '10%': -2.576139407751488}",-1.8871252027504888,0.3381418497911115,"{'1%': -3.47086589632514, '5%': -2.879330279087651, '10%': -2.57625492712671}",False,False,False,False,False,False,-4.5654623351601185,0.00014948752256717347,"{'1%': -3.4703698981001665, '5%': -2.8791138497902193, '10%': -2.576139407751488}",-3.509827941314854,0.00773825008634502,"{'1%': -3.47086589632514, '5%': -2.879330279087651, '10%': -2.57625492712671}",True,True,True,True,True,True,0.483,0.2513,0.9262,0.8424,0.0295,0.2985,0.5387,0.3934,0.0103,0.7929,0.4547,0.3159,0.6572,0.6777,0.9462,0.5217,0.0004,0.0016,0.0012,0.0,0.0,0.6651,0.6906,0.8095,0.5151,0.0006,0.0,0.0,0.5882,0.5542,0.0257,0.0852,0.0025,0.0,0.0,0.3287,0.0335,0.0103,0.0061,0.0051,0.0177,0.0091,5.0,2.0,6.0,6.0,6.0,5.0
A1,-0.8792049216144358,0.7947433822801548,"{'1%': -3.470616369591229, '5%': -2.8792214018977655, '10%': -2.57619681359045}",-2.0311461133544584,0.2730857526752758,"{'1%': -3.4703698981001665, '5%': -2.8791138497902193, '10%': -2.576139407751488}",False,True,False,True,True,False,-6.431910097599978,1.6892137491832276e-08,"{'1%': -3.47086589632514, '5%': -2.879330279087651, '10%': -2.57625492712671}",-5.7929386156212646,4.824947485230949e-07,"{'1%': -3.47086589632514, '5%': -2.879330279087651, '10%': -2.57625492712671}",True,True,True,True,True,True,0.5407,0.652,0.6807,0.6507,0.2599,0.4084,0.1733,0.2546,0.4801,0.3766,0.3358,0.4752,0.3663,0.4803,0.8955,0.4915,0.6059,0.2051,0.1991,0.5634,0.1862,0.5501,0.6599,0.9039,0.7929,0.4785,0.5049,0.4337,0.5475,0.7443,0.0261,0.0001,0.0037,0.0062,0.0006,0.4565,0.0059,0.0616,0.1774,0.0122,0.0301,0.0035,,,,,4.0,7.0
A2,-2.5014890068629914,0.1151124535444269,"{'1%': -3.470616369591229, '5%': -2.8792214018977655, '10%': -2.57619681359045}",-1.214104422618338,0.6674991073067216,"{'1%': -3.471118535474365, '5%': -2.8794405060097024, '10%': -2.576313761526591}",False,True,False,False,True,True,-6.189769146656486,6.163282189795814e-08,"{'1%': -3.470616369591229, '5%': -2.8792214018977655, '10%': -2.57619681359045}",-5.543768365760395,1.6787407955460501e-06,"{'1%': -3.471118535474365, '5%': -2.8794405060097024, '10%': -2.576313761526591}",True,True,True,True,True,True,0.2039,0.3878,0.2376,0.2894,0.2096,0.1854,0.259,0.8961,0.9103,0.848,0.8967,0.8531,0.2306,0.3604,0.7874,0.7219,0.8048,0.844,0.9491,0.949,0.9747,0.6466,0.8974,0.8088,0.8455,0.6844,0.7358,0.6435,0.3896,0.4814,0.019,0.0114,0.0961,0.0001,0.0004,0.8985,0.9568,0.8845,0.6141,0.2018,0.1247,0.1039,,,,,6.0,
A3,-3.540406883253572,0.00700801395449336,"{'1%': -3.47086589632514, '5%': -2.879330279087651, '10%': -2.57625492712671}",-2.14455721682525,0.22697925868516483,"{'1%': -3.470616369591229, '5%': -2.8792214018977655, '10%': -2.57619681359045}",True,True,False,True,True,True,-5.073315334658411,1.585851995955852e-05,"{'1%': -3.471118535474365, '5%': -2.8794405060097024, '10%': -2.576313761526591}",-7.598829899795263,2.4196654539541885e-11,"{'1%': -3.47086589632514, '5%': -2.879330279087651, '10%': -2.57625492712671}",True,True,True,True,True,True,0.5085,0.6795,0.9259,0.3749,0.0757,0.0283,0.0105,0.3066,0.6551,0.6477,0.5733,0.6432,0.2762,0.2197,0.7778,0.4942,0.5713,0.6292,0.7241,0.1291,0.2054,0.3948,0.5535,0.813,0.9777,0.9639,0.9798,0.9458,0.4729,0.6662,0.056,0.0802,0.4596,0.0203,0.0408,0.9951,0.5656,0.263,0.2888,0.1057,0.0408,0.0612,7.0,,,,6.0,6.0
A4,-1.9552208941944451,0.3065454918039857,"{'1%': -3.470126426071447, '5%': -2.8790075987120027, '10%': -2.5760826967621644}",-2.311531916748877,0.16827566896076518,"{'1%': -3.4703698981001665, '5%': -2.8791138497902193, '10%': -2.576139407751488}",False,False,False,True,True,True,-4.785343008569818,5.800806022979325e-05,"{'1%': -3.470616369591229, '5%': -2.8792214018977655, '10%': -2.57619681359045}",-7.444202399365339,5.896867709456637e-11,"{'1%': -3.47086589632514, '5%': -2.879330279087651, '10%': -2.57625492712671}",True,True,True,True,False,True,0.1979,0.3511,0.7223,0.7505,0.545,0.6405,0.698,0.2627,0.2451,0.617,0.95,0.9764,0.9202,0.7041,0.9037,0.3971,0.2599,0.5491,0.584,0.784,0.9269,0.1113,0.0953,0.0647,0.3161,0.2308,0.1245,0.205,0.0471,0.0268,0.0006,0.0005,0.4847,0.2169,0.037,0.1475,0.0,0.0002,0.0057,0.2073,0.4564,0.3171,,,,,4.0,2.0
A7,-3.778805457559316,0.0031317609342141556,"{'1%': -3.4698858990744115, '5%': -2.8789026251889647, '10%': -2.5760266680839004}",-2.7883379569995546,0.05995901422992692,"{'1%': -3.470126426071447, '5%': -2.8790075987120027, '10%': -2.5760826967621644}",True,True,False,True,True,True,-5.712182895365548,7.256851053494896e-07,"{'1%': -3.471374345647024, '5%': -2.8795521079291966, '10%': -2.5763733302850174}",-6.596568574223135,6.901699087271366e-09,"{'1%': -3.4703698981001665, '5%': -2.8791138497902193, '10%': -2.576139407751488}",True,True,True,False,True,True,0.9055,0.559,0.8739,0.0089,0.0157,0.0255,0.0001,0.068,0.1581,0.3805,0.4783,0.1881,0.2386,0.2991,0.3861,0.1063,0.1303,0.0808,0.141,0.1468,0.2076,0.6372,0.833,0.7083,0.8405,0.8721,0.8026,0.6567,0.2034,0.3987,0.0563,0.0813,0.1674,0.1235,0.1279,0.7334,0.2271,0.2635,0.4993,0.1173,0.2293,0.2517,7.0,,,,,
A8,-2.3690621421446694,0.1506594244297214,"{'1%': -3.470616369591229, '5%': -2.8792214018977655, '10%': -2.57619681359045}",-2.198847326843176,0.20666407669201386,"{'1%': -3.47086589632514, '5%': -2.879330279087651, '10%': -2.57625492712671}",False,True,False,True,False,False,-6.524634203702306,1.0218607513242838e-08,"{'1%': -3.470616369591229, '5%': -2.8792214018977655, '10%': -2.57619681359045}",-5.981618298026215,1.8327846320454606e-07,"{'1%': -3.47086589632514, '5%': -2.879330279087651, '10%': -2.57625492712671}",True,True,True,True,True,True,0.4794,0.5983,0.8528,0.9079,0.6796,0.7517,0.597,0.933,0.8249,0.9834,0.9968,0.9988,0.9993,0.9634,0.2704,0.0297,0.0645,0.018,0.0089,0.0018,0.0014,0.7237,0.3227,0.5197,0.0535,0.0992,0.3705,0.6014,0.5955,0.5777,0.0333,0.017,0.0917,0.0169,0.0383,0.1693,0.0024,0.026,0.0017,0.0547,0.0478,0.0201,,,7.0,,6.0,4.0
A9,-3.550486980677089,0.006781295270953866,"{'1%': -3.4691814633722453, '5%': -2.878595143532943, '10%': -2.5758625549741803}",-3.140512777724873,0.023696745541756582,"{'1%': -3.469413468959902, '5%': -2.8786964197028295, '10%': -2.5759166089965397}",True,True,True,True,True,True,-8.904141036669694,1.1499804777666586e-14,"{'1%': -3.4691814633722453, '5%': -2.878595143532943, '10%': -2.5758625549741803}",-4.759067162973201,6.508844178264241e-05,"{'1%': -3.470616369591229, '5%': -2.8792214018977655, '10%': -2.57619681359045}",True,True,True,True,True,True,0.21,0.2597,0.953,0.6992,0.4724,0.7886,0.8388,0.0971,0.099,0.2813,0.4088,0.5116,0.7548,0.8253,0.9389,0.1347,0.476,0.6823,0.461,0.5558,0.5423,0.0204,0.0695,0.0274,0.029,0.0456,0.0123,0.0088,0.7296,0.3182,0.1379,0.2186,0.6296,0.7721,0.9008,0.2904,0.2605,0.6832,0.7927,0.8494,0.8836,0.7534,,,,7.0,,
