keyword_name,ADF_Statistics_wiki_before_diff,ADF_p_value_wiki_before_diff,ADF_critical_values_wiki_before_diff,ADF_Statistics_news_before_diff,ADF_p_value_news_before_diff,ADF_critical_values_news_before_diff,ADF_stationary_wiki_before_diff,ADF_stationary_news_before_diff,KPSS_stationary_wiki_before_diff,KPSS_stationary_news_before_diff,ADF_Statistics_wiki_after_diff,ADF_p_value_wiki_after_diff,ADF_critical_values_wiki_after_diff,ADF_Statistics_news_after_diff,ADF_p_value_news_after_diff,ADF_critical_values_news_after_diff,ADF_stationary_wiki_after_diff,ADF_stationary_news_after_diff,KPSS_stationary_wiki_after_diff,KPSS_stationary_news_after_diff,ssr_ftest_pValue_lag1_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag2_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag3_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag4_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag5_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag6_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag7_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag1_after_diff_Wikipedia_grangerCauses_News,ssr_ftest_pValue_lag2_after_diff_Wikipedia_grangerCauses_News,ssr_ftest_pValue_lag3_after_diff_Wikipedia_grangerCauses_News,ssr_ftest_pValue_lag4_after_diff_Wikipedia_grangerCauses_News,ssr_ftest_pValue_lag5_after_diff_Wikipedia_grangerCauses_News,ssr_ftest_pValue_lag6_after_diff_Wikipedia_grangerCauses_News,ssr_ftest_pValue_lag7_after_diff_Wikipedia_grangerCauses_News,lowest_lag_after_diff_News_grangerCauses_Wikipedia,lowest_lag_after_diff_Wikipedia_grangerCauses_News
2G,-6.152354929671535,7.509109546750554e-08,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",-6.152354929671535,7.509109546750554e-08,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",True,True,False,False,-2.7975101982214072,0.05863029961705437,"{'1%': -3.47864788917503, '5%': -2.882721765644168, '10%': -2.578065326612056}",-2.7975101982214072,0.05863029961705437,"{'1%': -3.47864788917503, '5%': -2.882721765644168, '10%': -2.578065326612056}",False,False,True,True,0.7102,0.0,0.0,0.0,0.0001,0.0003,0.0006,0.8977,0.0015,0.0003,0.0015,0.0668,0.0214,0.0024,2.0,3.0
2G-Regel,-1.7815059300809721,0.38968136780019036,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",-1.7815059300809721,0.38968136780019036,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",False,False,True,True,-9.800312504303168,6.019601712792695e-17,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",-9.800312504303168,6.019601712792695e-17,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",True,True,True,True,0.2514,0.4399,0.4738,0.65,0.7239,0.3874,0.1816,0.1953,0.5082,0.8119,0.8901,0.9862,0.994,0.9898,,
3G,-5.992841617430681,1.7291792652568086e-07,"{'1%': -3.4776006742422374, '5%': -2.882265832283648, '10%': -2.5778219289774156}",-5.992841617430681,1.7291792652568086e-07,"{'1%': -3.4776006742422374, '5%': -2.882265832283648, '10%': -2.5778219289774156}",True,True,False,True,-8.880610502710535,1.3210947830035882e-14,"{'1%': -3.4750180242954167, '5%': -2.8811408028842043, '10%': -2.577221358046935}",-8.880610502710535,1.3210947830035882e-14,"{'1%': -3.4750180242954167, '5%': -2.8811408028842043, '10%': -2.577221358046935}",True,True,True,True,0.8338,0.9082,0.053,0.0636,0.0462,0.0593,0.1076,0.4621,0.185,0.3174,0.1374,0.3865,0.3015,0.3766,5.0,
A,-11.208058397690783,2.159864196232468e-20,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-11.208058397690783,2.159864196232468e-20,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,True,False,-8.459072286444917,1.585345536848769e-13,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",-8.459072286444917,1.585345536848769e-13,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",True,True,True,True,0.011,0.1248,0.0798,0.1774,0.1491,0.2239,0.3045,0.0153,0.0466,0.1629,0.2377,0.4086,0.2663,0.436,1.0,1.0
Ab,-12.506756877668826,2.7298107296209405e-23,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-12.506756877668826,2.7298107296209405e-23,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,True,False,-8.062110289724929,1.6324895343674401e-12,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",-8.062110289724929,1.6324895343674401e-12,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",True,True,False,True,0.3886,0.3131,0.5028,0.227,0.3611,0.4573,0.6517,0.8693,0.6913,0.6651,0.3547,0.4948,0.5164,0.6626,,
Abend,-9.755722742337916,7.799427264274404e-17,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-9.755722742337916,7.799427264274404e-17,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,False,-6.692677481619144,4.072148767759045e-09,"{'1%': -3.4769274060112707, '5%': -2.8819726324025625, '10%': -2.577665408088415}",-6.692677481619144,4.072148767759045e-09,"{'1%': -3.4769274060112707, '5%': -2.8819726324025625, '10%': -2.577665408088415}",True,True,True,True,0.9287,0.9598,0.8653,0.309,0.55,0.5418,0.6323,0.3191,0.1184,0.0663,0.0667,0.1913,0.37,0.4669,,
Abschied,-2.3652777130456104,0.15177723599993237,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-2.3652777130456104,0.15177723599993237,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",False,False,False,True,-8.5918883985287,7.24865198140098e-14,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",-8.5918883985287,7.24865198140098e-14,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",True,True,True,True,0.0241,0.0669,0.09,0.1679,0.0409,0.0682,0.0888,0.9757,0.5149,0.6584,0.6138,0.3356,0.4438,0.4646,1.0,
Acht,-6.551147052626055,8.844689247296752e-09,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-6.551147052626055,8.844689247296752e-09,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",True,True,True,False,-7.992300220543911,2.455948660918468e-12,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",-7.992300220543911,2.455948660918468e-12,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",True,True,True,True,0.9015,0.9073,0.9734,0.9212,0.9662,0.9841,0.9822,0.0812,0.0897,0.1429,0.2166,0.1919,0.2787,0.2833,,
Afghanistan,-5.3048324234050135,5.350847606097313e-06,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-5.3048324234050135,5.350847606097313e-06,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,True,True,-11.354239162149296,9.82376325419999e-21,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",-11.354239162149296,9.82376325419999e-21,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",True,True,True,True,0.6478,0.7994,0.8066,0.7044,0.823,0.9156,0.7661,0.805,0.4237,0.4272,0.5388,0.6493,0.739,0.8234,,
Alba,-4.7426448445263905,6.992670422145912e-05,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-4.7426448445263905,6.992670422145912e-05,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",True,True,True,False,-12.3099112421413,7.130502675594292e-23,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",-12.3099112421413,7.130502675594292e-23,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",True,True,True,True,0.3799,0.5484,0.7619,0.7934,0.6228,0.311,0.4104,0.9445,0.7207,0.2371,0.0317,0.0457,0.0462,0.0515,,4.0
