keyword_name,ADF_Statistics_wiki_before_diff,ADF_p_value_wiki_before_diff,ADF_critical_values_wiki_before_diff,ADF_Statistics_news_before_diff,ADF_p_value_news_before_diff,ADF_critical_values_news_before_diff,ADF_stationary_wiki_before_diff,ADF_stationary_news_before_diff,ADF_stationary_google_before_diff,KPSS_stationary_wiki_before_diff,KPSS_stationary_news_before_diff,KPSS_stationary_google_before_diff,ADF_Statistics_wiki_after_diff,ADF_p_value_wiki_after_diff,ADF_critical_values_wiki_after_diff,ADF_Statistics_news_after_diff,ADF_p_value_news_after_diff,ADF_critical_values_news_after_diff,ADF_stationary_wiki_after_diff,ADF_stationary_news_after_diff,ADF_stationary_google_after_diff,KPSS_stationary_wiki_after_diff,KPSS_stationary_news_after_diff,KPSS_stationary_google_after_diff,ssr_ftest_pValue_lag1_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag2_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag3_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag4_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag5_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag6_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag7_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag1_after_diff_Wikipedia_grangerCauses_News,ssr_ftest_pValue_lag2_after_diff_Wikipedia_grangerCauses_News,ssr_ftest_pValue_lag3_after_diff_Wikipedia_grangerCauses_News,ssr_ftest_pValue_lag4_after_diff_Wikipedia_grangerCauses_News,ssr_ftest_pValue_lag5_after_diff_Wikipedia_grangerCauses_News,ssr_ftest_pValue_lag6_after_diff_Wikipedia_grangerCauses_News,ssr_ftest_pValue_lag7_after_diff_Wikipedia_grangerCauses_News,ssr_ftest_pValue_lag1_after_diff_News_grangerCauses_Google,ssr_ftest_pValue_lag2_after_diff_News_grangerCauses_Google,ssr_ftest_pValue_lag3_after_diff_News_grangerCauses_Google,ssr_ftest_pValue_lag4_after_diff_News_grangerCauses_Google,ssr_ftest_pValue_lag5_after_diff_News_grangerCauses_Google,ssr_ftest_pValue_lag6_after_diff_News_grangerCauses_Google,ssr_ftest_pValue_lag7_after_diff_News_grangerCauses_Google,ssr_ftest_pValue_lag1_after_diff_Google_grangerCauses_News,ssr_ftest_pValue_lag2_after_diff_Google_grangerCauses_News,ssr_ftest_pValue_lag3_after_diff_Google_grangerCauses_News,ssr_ftest_pValue_lag4_after_diff_Google_grangerCauses_News,ssr_ftest_pValue_lag5_after_diff_Google_grangerCauses_News,ssr_ftest_pValue_lag6_after_diff_Google_grangerCauses_News,ssr_ftest_pValue_lag7_after_diff_Google_grangerCauses_News,ssr_ftest_pValue_lag1_after_diff_Google_grangerCauses_Wikipedia,ssr_ftest_pValue_lag2_after_diff_Google_grangerCauses_Wikipedia,ssr_ftest_pValue_lag3_after_diff_Google_grangerCauses_Wikipedia,ssr_ftest_pValue_lag4_after_diff_Google_grangerCauses_Wikipedia,ssr_ftest_pValue_lag5_after_diff_Google_grangerCauses_Wikipedia,ssr_ftest_pValue_lag6_after_diff_Google_grangerCauses_Wikipedia,ssr_ftest_pValue_lag7_after_diff_Google_grangerCauses_Wikipedia,ssr_ftest_pValue_lag1_after_diff_Wikipedia_grangerCauses_Google,ssr_ftest_pValue_lag2_after_diff_Wikipedia_grangerCauses_Google,ssr_ftest_pValue_lag3_after_diff_Wikipedia_grangerCauses_Google,ssr_ftest_pValue_lag4_after_diff_Wikipedia_grangerCauses_Google,ssr_ftest_pValue_lag5_after_diff_Wikipedia_grangerCauses_Google,ssr_ftest_pValue_lag6_after_diff_Wikipedia_grangerCauses_Google,ssr_ftest_pValue_lag7_after_diff_Wikipedia_grangerCauses_Google,lowest_lag_after_diff_News_grangerCauses_Wikipedia,lowest_lag_after_diff_Wikipedia_grangerCauses_News,lowest_lag_after_diff_News_grangerCauses_Google,lowest_lag_after_diff_Google_grangerCauses_News,lowest_lag_after_diff_Google_grangerCauses_Wikipedia,lowest_lag_after_diff_Wikipedia_grangerCauses_Google
9-Euro-Ticket,-1.6525227884870328,0.4557250499329896,"{'1%': -3.4703698981001665, '5%': -2.8791138497902193, '10%': -2.576139407751488}",-1.8871252027504888,0.3381418497911115,"{'1%': -3.47086589632514, '5%': -2.879330279087651, '10%': -2.57625492712671}",False,False,False,False,False,False,-4.5654623351601185,0.00014948752256717347,"{'1%': -3.4703698981001665, '5%': -2.8791138497902193, '10%': -2.576139407751488}",-3.509827941314854,0.00773825008634502,"{'1%': -3.47086589632514, '5%': -2.879330279087651, '10%': -2.57625492712671}",True,True,True,True,True,True,0.0271,0.0004,0.0035,0.0019,0.0094,0.0015,0.0022,0.4777,0.2009,0.385,0.4844,0.2904,0.2338,0.3148,0.9637,0.413,0.0091,0.0285,0.0122,0.0146,0.0032,0.5634,0.3785,0.078,0.1466,0.0495,0.0,0.0,0.5882,0.5542,0.0257,0.0852,0.0025,0.0,0.0,0.3287,0.0335,0.0103,0.0061,0.0051,0.0177,0.0091,2.0,,7.0,6.0,6.0,5.0
Ab,-3.298483254761254,0.01494640932927109,"{'1%': -3.470616369591229, '5%': -2.8792214018977655, '10%': -2.57619681359045}",-2.578213295616415,0.0975842563673372,"{'1%': -3.469413468959902, '5%': -2.8786964197028295, '10%': -2.5759166089965397}",True,True,False,True,True,False,-5.8071893769737875,4.487898702861981e-07,"{'1%': -3.470616369591229, '5%': -2.8792214018977655, '10%': -2.57619681359045}",-10.298060724625044,3.4294963214332655e-18,"{'1%': -3.469413468959902, '5%': -2.8786964197028295, '10%': -2.5759166089965397}",True,True,True,False,True,True,0.7257,0.3022,0.6176,0.6389,0.7547,0.5397,0.3594,0.3464,0.6558,0.9051,0.7895,0.8547,0.8628,0.5785,0.7195,0.0006,0.0003,0.0024,0.0037,0.008,0.0253,0.0023,0.005,0.0,0.0001,0.0006,0.0006,0.0019,0.5702,0.7448,0.9286,0.9514,0.9746,0.9375,0.9385,0.5728,0.6961,0.8429,0.9505,0.986,0.995,0.998,,,3.0,3.0,,
Abschied,-2.2302966699852176,0.19543380455948856,"{'1%': -3.470616369591229, '5%': -2.8792214018977655, '10%': -2.57619681359045}",-1.506778817270395,0.5301553293281291,"{'1%': -3.468952197801766, '5%': -2.878495056473015, '10%': -2.57580913601947}",False,False,False,True,True,False,-8.699726024631046,3.838327040280326e-14,"{'1%': -3.470616369591229, '5%': -2.8792214018977655, '10%': -2.57619681359045}",-9.541067272528121,2.7258233825128145e-16,"{'1%': -3.4691814633722453, '5%': -2.878595143532943, '10%': -2.5758625549741803}",True,True,True,True,True,True,0.5909,0.0927,0.0173,0.0133,0.0272,0.0004,0.0011,0.2341,0.0105,0.0006,0.0003,0.0015,0.0001,0.0001,0.1501,0.1549,0.0928,0.3675,0.3404,0.3454,0.4215,0.8115,0.1217,0.0662,0.0284,0.0461,0.0333,0.0279,0.1334,0.2966,0.3767,0.5445,0.5849,0.3392,0.3885,0.5657,0.7248,0.6278,0.8378,0.9118,0.9073,0.9398,6.0,6.0,,7.0,,
Absturz,-3.88014536656394,0.002185923663604721,"{'1%': -3.4685016947910636, '5%': -2.8782983668563396, '10%': -2.57570415906989}",-3.167272082163285,0.021958992034828675,"{'1%': -3.4691814633722453, '5%': -2.878595143532943, '10%': -2.5758625549741803}",True,False,True,False,True,True,-13.257878936186716,8.514899229483943e-25,"{'1%': -3.4685016947910636, '5%': -2.8782983668563396, '10%': -2.57570415906989}",-8.673936234913626,4.4687274039188213e-14,"{'1%': -3.4691814633722453, '5%': -2.878595143532943, '10%': -2.5758625549741803}",True,True,True,True,True,True,0.7559,0.6184,0.8005,0.9204,0.9635,0.9044,0.9169,0.2949,0.5613,0.7827,0.8651,0.8541,0.8106,0.7107,0.5462,0.2543,0.5788,0.7026,0.8339,0.9076,0.8955,0.3332,0.5953,0.8667,0.9513,0.5845,0.6534,0.7455,0.338,0.1998,0.4113,0.2167,0.296,0.0277,0.0149,0.0863,0.1927,0.4062,0.2392,0.2528,0.1337,0.1079,,,,,7.0,
Acht,-6.919066115663917,1.1590347401255088e-09,"{'1%': -3.4680615871598537, '5%': -2.8781061899535128, '10%': -2.5756015922004134}",-8.407022474775962,2.1538622961647477e-13,"{'1%': -3.4682803641749267, '5%': -2.8782017240816327, '10%': -2.5756525795918366}",True,True,True,False,True,True,-12.062504517985088,2.450885122057047e-22,"{'1%': -3.4685016947910636, '5%': -2.8782983668563396, '10%': -2.57570415906989}",-8.249997811122746,5.423261247269692e-13,"{'1%': -3.469648263987657, '5%': -2.878798906308495, '10%': -2.5759713094779593}",True,True,True,True,True,True,0.95,0.4484,0.1235,0.14,0.1846,0.2683,0.3896,0.5528,0.5473,0.9284,0.8363,0.7913,0.7093,0.5753,0.1362,0.1252,0.0231,0.0084,0.0263,0.0877,0.1744,0.7922,0.9514,0.6221,0.6504,0.7029,0.3522,0.5232,0.0246,0.0107,0.0083,0.0096,0.0049,0.0014,0.0041,0.3117,0.3735,0.0019,0.0021,0.0461,0.1261,0.2124,,,4.0,,6.0,3.0
Achtung,-4.690318535660523,8.774834274610568e-05,"{'1%': -3.4698858990744115, '5%': -2.8789026251889647, '10%': -2.5760266680839004}",-3.7396962066420163,0.0035882009502851185,"{'1%': -3.4691814633722453, '5%': -2.878595143532943, '10%': -2.5758625549741803}",True,True,True,True,True,True,-6.17895927126635,6.52567925299732e-08,"{'1%': -3.47086589632514, '5%': -2.879330279087651, '10%': -2.57625492712671}",-10.124263889665318,9.270413354088435e-18,"{'1%': -3.4691814633722453, '5%': -2.878595143532943, '10%': -2.5758625549741803}",True,True,True,True,True,True,0.0677,0.0112,0.154,0.3998,0.3879,0.4582,0.4964,0.0002,0.0002,0.0138,0.0105,0.0163,0.0176,0.0313,0.156,0.0498,0.0583,0.0554,0.1796,0.3861,0.5174,0.9518,0.8628,0.5804,0.6807,0.171,0.1691,0.1685,0.0123,0.0032,0.0,0.0,0.0,0.0,0.0,0.9219,0.9059,0.8283,0.8893,0.9766,0.9289,0.9087,2.0,1.0,2.0,,3.0,
Aktion,-3.883796152399487,0.002157388221436453,"{'1%': -3.4685016947910636, '5%': -2.8782983668563396, '10%': -2.57570415906989}",-9.39575081473624,6.381421841434684e-16,"{'1%': -3.4680615871598537, '5%': -2.8781061899535128, '10%': -2.5756015922004134}",True,True,True,False,True,True,-11.75115904294371,1.2082698336920671e-21,"{'1%': -3.4685016947910636, '5%': -2.8782983668563396, '10%': -2.57570415906989}",-7.206376429981463,2.2945250623347714e-10,"{'1%': -3.469648263987657, '5%': -2.878798906308495, '10%': -2.5759713094779593}",True,True,True,True,True,True,0.4695,0.481,0.2444,0.248,0.4847,0.2951,0.3473,0.4393,0.681,0.8467,0.8719,0.931,0.9795,0.9844,0.8475,0.4469,0.3018,0.4398,0.5201,0.6764,0.5888,0.3837,0.6506,0.2519,0.2452,0.2628,0.5902,0.6871,0.001,0.0001,0.0,0.0,0.0,0.0,0.0,0.1776,0.2415,0.1526,0.136,0.1879,0.119,0.1438,,,,,3.0,
Alarm,-4.254343004415649,0.0005324166101158054,"{'1%': -3.4685016947910636, '5%': -2.8782983668563396, '10%': -2.57570415906989}",-11.484398951554871,4.905624776381924e-21,"{'1%': -3.467845319799907, '5%': -2.878011745497439, '10%': -2.575551186759871}",True,True,True,True,True,True,-9.845688809377322,4.62637363667125e-17,"{'1%': -3.4687256239864017, '5%': -2.8783961376954363, '10%': -2.57575634100705}",-7.802725996276727,7.419051019205037e-12,"{'1%': -3.469648263987657, '5%': -2.878798906308495, '10%': -2.5759713094779593}",True,True,True,True,True,True,0.3374,0.5448,0.5882,0.6709,0.7922,0.8507,0.6705,0.3877,0.7383,0.3853,0.4855,0.7537,0.244,0.3661,0.4197,0.4643,0.3329,0.6395,0.5403,0.4545,0.6101,0.1338,0.3399,0.026,0.0083,0.0267,0.005,0.0098,0.0347,0.0094,0.0,0.0,0.0,0.0,0.0,0.9349,0.9846,0.9679,0.9478,0.8954,0.4016,0.4868,,,,6.0,3.0,
Alle,-3.7162142443892905,0.003890781260082181,"{'1%': -3.4685016947910636, '5%': -2.8782983668563396, '10%': -2.57570415906989}",-11.672874709003295,1.817064634423667e-21,"{'1%': -3.4680615871598537, '5%': -2.8781061899535128, '10%': -2.5756015922004134}",True,True,True,True,True,True,-7.460451144505519,5.3713023111029276e-11,"{'1%': -3.469413468959902, '5%': -2.8786964197028295, '10%': -2.5759166089965397}",-8.805715769237004,2.0545260834529647e-14,"{'1%': -3.469413468959902, '5%': -2.8786964197028295, '10%': -2.5759166089965397}",True,True,True,True,True,True,0.034,0.1042,0.0112,0.0252,0.0353,0.0165,0.0092,0.9595,0.7667,0.4407,0.4802,0.6421,0.7424,0.0703,0.2613,0.5048,0.3739,0.516,0.2144,0.2803,0.3376,0.0257,0.0123,0.0002,0.0002,0.0002,0.0002,0.0008,0.1094,0.3034,0.0,0.0,0.0,0.0,0.0001,0.0169,0.0003,0.0002,0.0,0.0,0.0,0.0001,7.0,,,3.0,3.0,4.0
Alles,-4.091358128534499,0.0010008752895195824,"{'1%': -3.4687256239864017, '5%': -2.8783961376954363, '10%': -2.57575634100705}",-2.382011181360756,0.14687811937695272,"{'1%': -3.468952197801766, '5%': -2.878495056473015, '10%': -2.57580913601947}",True,True,False,False,True,False,-9.29082301465691,1.1811013334721393e-15,"{'1%': -3.468952197801766, '5%': -2.878495056473015, '10%': -2.57580913601947}",-9.949273345326718,2.5401838785307364e-17,"{'1%': -3.468952197801766, '5%': -2.878495056473015, '10%': -2.57580913601947}",True,True,True,True,False,True,0.3137,0.0649,0.349,0.5352,0.6516,0.7173,0.6245,0.0992,0.2245,0.4536,0.325,0.1532,0.0287,0.0372,0.1853,0.0745,0.375,0.4261,0.4374,0.4818,0.439,0.3996,0.6337,0.2159,0.0581,0.024,0.0231,0.0308,0.0326,0.0049,0.0,0.0,0.0,0.0001,0.0002,0.5343,0.735,0.3478,0.4293,0.4344,0.2858,0.3474,,6.0,,6.0,3.0,
