keyword_name,ADF_Statistics_wiki_before_diff,ADF_p_value_wiki_before_diff,ADF_critical_values_wiki_before_diff,ADF_Statistics_news_before_diff,ADF_p_value_news_before_diff,ADF_critical_values_news_before_diff,ADF_stationary_wiki_before_diff,ADF_stationary_news_before_diff,ADF_stationary_google_before_diff,KPSS_stationary_wiki_before_diff,KPSS_stationary_news_before_diff,KPSS_stationary_google_before_diff,ADF_Statistics_wiki_after_diff,ADF_p_value_wiki_after_diff,ADF_critical_values_wiki_after_diff,ADF_Statistics_news_after_diff,ADF_p_value_news_after_diff,ADF_critical_values_news_after_diff,ADF_stationary_wiki_after_diff,ADF_stationary_news_after_diff,ADF_stationary_google_after_diff,KPSS_stationary_wiki_after_diff,KPSS_stationary_news_after_diff,KPSS_stationary_google_after_diff,ssr_ftest_pValue_lag1_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag2_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag3_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag4_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag5_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag6_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag7_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag1_after_diff_Wikipedia_grangerCauses_News,ssr_ftest_pValue_lag2_after_diff_Wikipedia_grangerCauses_News,ssr_ftest_pValue_lag3_after_diff_Wikipedia_grangerCauses_News,ssr_ftest_pValue_lag4_after_diff_Wikipedia_grangerCauses_News,ssr_ftest_pValue_lag5_after_diff_Wikipedia_grangerCauses_News,ssr_ftest_pValue_lag6_after_diff_Wikipedia_grangerCauses_News,ssr_ftest_pValue_lag7_after_diff_Wikipedia_grangerCauses_News,ssr_ftest_pValue_lag1_after_diff_News_grangerCauses_Google,ssr_ftest_pValue_lag2_after_diff_News_grangerCauses_Google,ssr_ftest_pValue_lag3_after_diff_News_grangerCauses_Google,ssr_ftest_pValue_lag4_after_diff_News_grangerCauses_Google,ssr_ftest_pValue_lag5_after_diff_News_grangerCauses_Google,ssr_ftest_pValue_lag6_after_diff_News_grangerCauses_Google,ssr_ftest_pValue_lag7_after_diff_News_grangerCauses_Google,ssr_ftest_pValue_lag1_after_diff_Google_grangerCauses_News,ssr_ftest_pValue_lag2_after_diff_Google_grangerCauses_News,ssr_ftest_pValue_lag3_after_diff_Google_grangerCauses_News,ssr_ftest_pValue_lag4_after_diff_Google_grangerCauses_News,ssr_ftest_pValue_lag5_after_diff_Google_grangerCauses_News,ssr_ftest_pValue_lag6_after_diff_Google_grangerCauses_News,ssr_ftest_pValue_lag7_after_diff_Google_grangerCauses_News,ssr_ftest_pValue_lag1_after_diff_Google_grangerCauses_Wikipedia,ssr_ftest_pValue_lag2_after_diff_Google_grangerCauses_Wikipedia,ssr_ftest_pValue_lag3_after_diff_Google_grangerCauses_Wikipedia,ssr_ftest_pValue_lag4_after_diff_Google_grangerCauses_Wikipedia,ssr_ftest_pValue_lag5_after_diff_Google_grangerCauses_Wikipedia,ssr_ftest_pValue_lag6_after_diff_Google_grangerCauses_Wikipedia,ssr_ftest_pValue_lag7_after_diff_Google_grangerCauses_Wikipedia,ssr_ftest_pValue_lag1_after_diff_Wikipedia_grangerCauses_Google,ssr_ftest_pValue_lag2_after_diff_Wikipedia_grangerCauses_Google,ssr_ftest_pValue_lag3_after_diff_Wikipedia_grangerCauses_Google,ssr_ftest_pValue_lag4_after_diff_Wikipedia_grangerCauses_Google,ssr_ftest_pValue_lag5_after_diff_Wikipedia_grangerCauses_Google,ssr_ftest_pValue_lag6_after_diff_Wikipedia_grangerCauses_Google,ssr_ftest_pValue_lag7_after_diff_Wikipedia_grangerCauses_Google,lowest_lag_after_diff_News_grangerCauses_Wikipedia,lowest_lag_after_diff_Wikipedia_grangerCauses_News,lowest_lag_after_diff_News_grangerCauses_Google,lowest_lag_after_diff_Google_grangerCauses_News,lowest_lag_after_diff_Google_grangerCauses_Wikipedia,lowest_lag_after_diff_Wikipedia_grangerCauses_Google
Abend,-2.8598796883301327,0.05021631722169996,"{'1%': -3.4698858990744115, '5%': -2.8789026251889647, '10%': -2.5760266680839004}",-1.8609654285129638,0.350641002827081,"{'1%': -3.4703698981001665, '5%': -2.8791138497902193, '10%': -2.576139407751488}",False,True,False,False,True,True,-6.281528789347934,3.7860966980514527e-08,"{'1%': -3.471374345647024, '5%': -2.8795521079291966, '10%': -2.5763733302850174}",-6.829978032345812,1.904641182445028e-09,"{'1%': -3.47086589632514, '5%': -2.879330279087651, '10%': -2.57625492712671}",True,True,True,True,True,True,0.11,0.0911,0.3595,0.0579,0.0321,0.0207,0.0358,0.7117,0.0431,0.5061,0.8045,0.5295,0.6027,0.0174,0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.1477,0.0013,0.1033,0.1211,0.0193,0.0125,0.0076,0.7717,0.0064,0.0024,0.011,0.3408,0.0859,0.1364,0.0659,0.0038,0.1272,0.2493,0.0284,0.0667,0.0423,6.0,7.0,2.0,2.0,3.0,2.0
Acht,-2.2560665930412616,0.18652890967893754,"{'1%': -3.470126426071447, '5%': -2.8790075987120027, '10%': -2.5760826967621644}",-2.290875609261117,0.17492765842760438,"{'1%': -3.47086589632514, '5%': -2.879330279087651, '10%': -2.57625492712671}",False,True,False,False,True,True,-5.908213563142323,2.67714067532456e-07,"{'1%': -3.4703698981001665, '5%': -2.8791138497902193, '10%': -2.576139407751488}",-7.115190989171399,3.8471495328488004e-10,"{'1%': -3.470616369591229, '5%': -2.8792214018977655, '10%': -2.57619681359045}",True,True,True,True,True,True,0.4778,0.2788,0.4031,0.4905,0.3677,0.5002,0.6743,0.9404,0.2695,0.1821,0.0666,0.207,0.0717,0.0809,0.4688,0.0372,0.0151,0.0003,0.001,0.0045,0.0093,0.0503,0.0765,0.035,0.0249,0.0516,0.6908,0.1102,0.2491,0.1424,0.5864,0.5044,0.1061,0.0733,0.1031,0.6792,0.0258,0.0,0.0,0.1999,0.2114,0.2991,,,4.0,4.0,,3.0
Als,-3.73712536616876,0.0036202434857084123,"{'1%': -3.47086589632514, '5%': -2.879330279087651, '10%': -2.57625492712671}",-2.440314273839022,0.13067969567753196,"{'1%': -3.4703698981001665, '5%': -2.8791138497902193, '10%': -2.576139407751488}",True,True,False,True,True,False,-5.406605153430874,3.2806667474526387e-06,"{'1%': -3.471374345647024, '5%': -2.8795521079291966, '10%': -2.5763733302850174}",-6.004255023152966,1.6297118320111645e-07,"{'1%': -3.47086589632514, '5%': -2.879330279087651, '10%': -2.57625492712671}",True,True,True,True,True,True,0.4257,0.0397,0.61,0.3,0.1859,0.2118,0.3975,0.0002,0.0007,0.0092,0.0104,0.1009,0.1036,0.103,0.2697,0.0017,0.0502,0.0474,0.173,0.178,0.198,0.046,0.0185,0.0005,0.0025,0.0049,0.0027,0.0026,0.7066,0.0056,0.0027,0.0349,0.0354,0.0118,0.018,0.9399,0.9044,0.6912,0.7502,0.4252,0.55,0.7667,2.0,1.0,2.0,3.0,3.0,
Angriff,-0.7356983661406894,0.8372849413118904,"{'1%': -3.470616369591229, '5%': -2.8792214018977655, '10%': -2.57619681359045}",-2.591802487501352,0.09470339047540033,"{'1%': -3.470126426071447, '5%': -2.8790075987120027, '10%': -2.5760826967621644}",False,False,False,True,True,True,-7.0783659373529115,4.736689332066737e-10,"{'1%': -3.470616369591229, '5%': -2.8792214018977655, '10%': -2.57619681359045}",-5.103738039843747,1.3778384200301132e-05,"{'1%': -3.470616369591229, '5%': -2.8792214018977655, '10%': -2.57619681359045}",True,True,True,True,True,True,0.6038,0.6935,0.9383,0.976,0.9837,0.9626,0.9743,0.4069,0.6298,0.8367,0.9179,0.9681,0.954,0.9614,0.6865,0.3518,0.7105,0.7372,0.8495,0.8254,0.8737,0.0274,0.1167,0.0879,0.1867,0.2932,0.3999,0.3897,0.3152,0.5611,0.8307,0.8489,0.9287,0.9944,0.9966,0.9777,0.7226,0.9304,0.4179,0.0142,0.0298,0.0306,,,,1.0,,5.0
Angriffskrieg,-3.040130303568587,0.03131291598600373,"{'1%': -3.469413468959902, '5%': -2.8786964197028295, '10%': -2.5759166089965397}",-2.8614492461687453,0.05001809303673055,"{'1%': -3.47086589632514, '5%': -2.879330279087651, '10%': -2.57625492712671}",True,False,False,True,True,True,-5.770700784089076,5.40091782236822e-07,"{'1%': -3.4698858990744115, '5%': -2.8789026251889647, '10%': -2.5760266680839004}",-4.4715412440853015,0.00022128141041828997,"{'1%': -3.471374345647024, '5%': -2.8795521079291966, '10%': -2.5763733302850174}",True,True,True,True,False,True,0.8489,0.9657,0.8409,0.8309,0.9514,0.9913,0.9956,0.3355,0.2816,0.0251,0.0552,0.0981,0.137,0.0579,0.8015,0.8565,0.4397,0.3133,0.2355,0.4917,0.5334,0.1075,0.0154,0.0113,0.0251,0.0086,0.0277,0.0357,0.0589,0.1581,0.5804,0.5876,0.8977,0.7507,0.6406,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,,3.0,,5.0,,1.0
Angst,-1.6706113764571895,0.4463144199693567,"{'1%': -3.470616369591229, '5%': -2.8792214018977655, '10%': -2.57619681359045}",-3.0386197560434427,0.03144183784313518,"{'1%': -3.4698858990744115, '5%': -2.8789026251889647, '10%': -2.5760266680839004}",False,True,True,False,True,True,-6.612312277035221,6.3318580675393254e-09,"{'1%': -3.470616369591229, '5%': -2.8792214018977655, '10%': -2.57619681359045}",-5.257180762792437,6.712145034126246e-06,"{'1%': -3.4698858990744115, '5%': -2.8789026251889647, '10%': -2.5760266680839004}",True,True,True,True,True,True,0.1994,0.335,0.7014,0.8368,0.9477,0.7057,0.3785,0.7497,0.9086,0.9322,0.7015,0.7482,0.1311,0.2401,0.2883,0.1557,0.2451,0.0823,0.3325,0.1821,0.2623,0.938,0.2447,0.0089,0.0548,0.0182,0.056,0.2321,0.7002,0.8434,0.0042,0.0113,0.5619,0.1745,0.1362,0.3379,0.1338,0.6712,0.5442,0.3986,0.3347,0.4402,,,,3.0,3.0,
Armee,-2.2630450669462103,0.1841637230009272,"{'1%': -3.470126426071447, '5%': -2.8790075987120027, '10%': -2.5760826967621644}",-2.4227880537223743,0.13540766855377945,"{'1%': -3.4698858990744115, '5%': -2.8789026251889647, '10%': -2.5760266680839004}",False,False,False,True,True,True,-4.669210137918982,9.610411795352088e-05,"{'1%': -3.470616369591229, '5%': -2.8792214018977655, '10%': -2.57619681359045}",-5.5059942430923305,2.021330809440479e-06,"{'1%': -3.4698858990744115, '5%': -2.8789026251889647, '10%': -2.5760266680839004}",True,True,True,True,True,True,0.9002,0.9089,0.9379,0.5047,0.5746,0.6776,0.6168,0.386,0.5624,0.4103,0.4766,0.3886,0.2172,0.0739,0.9442,0.8074,0.6386,0.7614,0.8339,0.9796,0.8855,0.2016,0.0851,0.0878,0.1084,0.0066,0.0082,0.0057,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.559,0.7427,0.8411,0.5773,0.2631,0.3271,0.458,,,,7.0,2.0,
Auch,-1.875347824370244,0.34374564157792825,"{'1%': -3.470616369591229, '5%': -2.8792214018977655, '10%': -2.57619681359045}",-2.5341296063626007,0.10738948477695176,"{'1%': -3.4703698981001665, '5%': -2.8791138497902193, '10%': -2.576139407751488}",False,True,False,False,True,True,-5.57964984965166,1.4060870262823304e-06,"{'1%': -3.471374345647024, '5%': -2.8795521079291966, '10%': -2.5763733302850174}",-6.516245684488014,1.069561740990713e-08,"{'1%': -3.4703698981001665, '5%': -2.8791138497902193, '10%': -2.576139407751488}",True,True,True,True,True,True,0.9055,0.9057,0.9777,0.8026,0.8783,0.5895,0.2867,0.2625,0.5346,0.9307,0.895,0.9797,0.1895,0.1439,0.7159,0.3486,0.3714,0.2776,0.3715,0.4439,0.4463,0.5059,0.798,0.6999,0.3763,0.328,0.007,0.0099,0.0365,0.0477,0.0292,0.0484,0.9405,0.491,0.447,0.5773,0.0092,0.001,0.0039,0.1774,0.2576,0.1492,,,,6.0,3.0,3.0
Auf,-3.1710006629296474,0.02172584389880693,"{'1%': -3.470126426071447, '5%': -2.8790075987120027, '10%': -2.5760826967621644}",-2.6334253222310475,0.08628381757115922,"{'1%': -3.4698858990744115, '5%': -2.8789026251889647, '10%': -2.5760266680839004}",True,False,False,True,True,True,-6.758972052187543,2.8239827517535626e-09,"{'1%': -3.470616369591229, '5%': -2.8792214018977655, '10%': -2.57619681359045}",-8.939955363830848,9.31129043181256e-15,"{'1%': -3.4698858990744115, '5%': -2.8789026251889647, '10%': -2.5760266680839004}",True,True,True,True,True,True,0.3442,0.5137,0.3072,0.4854,0.5881,0.6694,0.6254,0.8595,0.5645,0.3932,0.4679,0.205,0.3456,0.2457,0.5399,0.7249,0.7738,0.7021,0.8793,0.9051,0.9559,0.6136,0.4063,0.3739,0.392,0.5824,0.541,0.6724,0.5994,0.8673,0.5487,0.7064,0.7395,0.661,0.7345,0.92,0.8838,0.973,0.9703,0.9946,0.998,1.0,,,,,,
Aus,-5.210821403456577,8.355675298983638e-06,"{'1%': -3.4685016947910636, '5%': -2.8782983668563396, '10%': -2.57570415906989}",-2.0337690399470625,0.27196558424276707,"{'1%': -3.4698858990744115, '5%': -2.8789026251889647, '10%': -2.5760266680839004}",True,True,False,True,False,True,-9.860528589955903,4.245079075567244e-17,"{'1%': -3.4687256239864017, '5%': -2.8783961376954363, '10%': -2.57575634100705}",-5.755531457931644,5.831822926657031e-07,"{'1%': -3.469648263987657, '5%': -2.878798906308495, '10%': -2.5759713094779593}",True,True,True,True,True,True,0.666,0.8942,0.9797,0.5962,0.6153,0.4414,0.2758,0.5068,0.5894,0.5003,0.5663,0.6389,0.6865,0.6856,0.1964,0.4035,0.4386,0.7276,0.791,0.3231,0.4762,0.3272,0.3939,0.1277,0.2022,0.3245,0.2292,0.2316,0.6545,0.902,0.4616,0.7368,0.1396,0.0288,0.0299,0.1587,0.1985,0.3019,0.1792,0.2318,0.1163,0.2206,,,,,6.0,
