keyword_name,ADF_Statistics_wiki_before_diff,ADF_p_value_wiki_before_diff,ADF_critical_values_wiki_before_diff,ADF_Statistics_news_before_diff,ADF_p_value_news_before_diff,ADF_critical_values_news_before_diff,ADF_stationary_wiki_before_diff,ADF_stationary_news_before_diff,ADF_stationary_google_before_diff,KPSS_stationary_wiki_before_diff,KPSS_stationary_news_before_diff,KPSS_stationary_google_before_diff,ADF_Statistics_wiki_after_diff,ADF_p_value_wiki_after_diff,ADF_critical_values_wiki_after_diff,ADF_Statistics_news_after_diff,ADF_p_value_news_after_diff,ADF_critical_values_news_after_diff,ADF_stationary_wiki_after_diff,ADF_stationary_news_after_diff,ADF_stationary_google_after_diff,KPSS_stationary_wiki_after_diff,KPSS_stationary_news_after_diff,KPSS_stationary_google_after_diff,ssr_ftest_pValue_lag1_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag2_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag3_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag4_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag5_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag6_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag7_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag1_after_diff_Wikipedia_grangerCauses_News,ssr_ftest_pValue_lag2_after_diff_Wikipedia_grangerCauses_News,ssr_ftest_pValue_lag3_after_diff_Wikipedia_grangerCauses_News,ssr_ftest_pValue_lag4_after_diff_Wikipedia_grangerCauses_News,ssr_ftest_pValue_lag5_after_diff_Wikipedia_grangerCauses_News,ssr_ftest_pValue_lag6_after_diff_Wikipedia_grangerCauses_News,ssr_ftest_pValue_lag7_after_diff_Wikipedia_grangerCauses_News,ssr_ftest_pValue_lag1_after_diff_News_grangerCauses_Google,ssr_ftest_pValue_lag2_after_diff_News_grangerCauses_Google,ssr_ftest_pValue_lag3_after_diff_News_grangerCauses_Google,ssr_ftest_pValue_lag4_after_diff_News_grangerCauses_Google,ssr_ftest_pValue_lag5_after_diff_News_grangerCauses_Google,ssr_ftest_pValue_lag6_after_diff_News_grangerCauses_Google,ssr_ftest_pValue_lag7_after_diff_News_grangerCauses_Google,ssr_ftest_pValue_lag1_after_diff_Google_grangerCauses_News,ssr_ftest_pValue_lag2_after_diff_Google_grangerCauses_News,ssr_ftest_pValue_lag3_after_diff_Google_grangerCauses_News,ssr_ftest_pValue_lag4_after_diff_Google_grangerCauses_News,ssr_ftest_pValue_lag5_after_diff_Google_grangerCauses_News,ssr_ftest_pValue_lag6_after_diff_Google_grangerCauses_News,ssr_ftest_pValue_lag7_after_diff_Google_grangerCauses_News,ssr_ftest_pValue_lag1_after_diff_Google_grangerCauses_Wikipedia,ssr_ftest_pValue_lag2_after_diff_Google_grangerCauses_Wikipedia,ssr_ftest_pValue_lag3_after_diff_Google_grangerCauses_Wikipedia,ssr_ftest_pValue_lag4_after_diff_Google_grangerCauses_Wikipedia,ssr_ftest_pValue_lag5_after_diff_Google_grangerCauses_Wikipedia,ssr_ftest_pValue_lag6_after_diff_Google_grangerCauses_Wikipedia,ssr_ftest_pValue_lag7_after_diff_Google_grangerCauses_Wikipedia,ssr_ftest_pValue_lag1_after_diff_Wikipedia_grangerCauses_Google,ssr_ftest_pValue_lag2_after_diff_Wikipedia_grangerCauses_Google,ssr_ftest_pValue_lag3_after_diff_Wikipedia_grangerCauses_Google,ssr_ftest_pValue_lag4_after_diff_Wikipedia_grangerCauses_Google,ssr_ftest_pValue_lag5_after_diff_Wikipedia_grangerCauses_Google,ssr_ftest_pValue_lag6_after_diff_Wikipedia_grangerCauses_Google,ssr_ftest_pValue_lag7_after_diff_Wikipedia_grangerCauses_Google,lowest_lag_after_diff_News_grangerCauses_Wikipedia,lowest_lag_after_diff_Wikipedia_grangerCauses_News,lowest_lag_after_diff_News_grangerCauses_Google,lowest_lag_after_diff_Google_grangerCauses_News,lowest_lag_after_diff_Google_grangerCauses_Wikipedia,lowest_lag_after_diff_Wikipedia_grangerCauses_Google
9-Euro-Ticket,-1.8273112476851627,0.36698917494574224,"{'1%': -3.512738056978279, '5%': -2.8974898650628984, '10%': -2.585948732897085}",-1.5068762821305695,0.5301070394015586,"{'1%': -3.510711795769895, '5%': -2.8966159448223734, '10%': -2.5854823866213152}",False,False,False,False,False,False,-2.7856202988645884,0.06035734511922325,"{'1%': -3.512738056978279, '5%': -2.8974898650628984, '10%': -2.585948732897085}",-2.2126649270978613,0.2016809723329987,"{'1%': -3.5159766913976376, '5%': -2.898885703483903, '10%': -2.5866935058484217}",False,True,False,True,True,True,0.8791,0.312,0.8849,0.8704,0.254,0.7339,0.8927,0.441,0.0946,0.8746,0.6067,0.6114,0.8711,0.8855,0.7802,0.657,0.0048,0.0148,0.0186,0.002,0.0016,0.6559,0.816,0.9015,0.7129,0.0377,0.0003,0.0001,0.6888,0.767,0.1587,0.3487,0.0805,0.006,0.0007,0.5796,0.1161,0.1205,0.1069,0.1317,0.2138,0.1546,,,7.0,7.0,7.0,
A4,-3.0399113072717903,0.03133157892865835,"{'1%': -3.506057133647011, '5%': -2.8946066061911946, '10%': -2.5844100201994697}",-1.8610947069959785,0.35057877280025995,"{'1%': -3.5137900174243235, '5%': -2.8979433868293945, '10%': -2.5861907285474777}",True,True,False,True,True,False,-4.594226995699318,0.00013237168314333796,"{'1%': -3.5117123057187376, '5%': -2.8970475206326833, '10%': -2.5857126912469153}",-3.2500225915146927,0.017265722484726263,"{'1%': -3.5137900174243235, '5%': -2.8979433868293945, '10%': -2.5861907285474777}",True,True,True,True,True,True,0.5279,0.5534,0.0485,0.0411,0.0561,0.0969,0.1728,0.3829,0.6909,0.9903,0.9667,0.7014,0.604,0.7499,0.9881,0.4438,0.074,0.2799,0.5677,0.5812,0.938,0.0607,0.1804,0.2464,0.3867,0.2063,0.0881,0.117,0.2359,0.1184,0.5759,0.2154,0.2216,0.1912,0.3425,0.4457,0.03,0.0204,0.671,0.3848,0.6488,0.5397,4.0,,,,,3.0
A7,-4.105985117069477,0.0009466957642320325,"{'1%': -3.5078527246648834, '5%': -2.895382030636155, '10%': -2.584823877658872}",-2.473339808761141,0.12209651087382134,"{'1%': -3.512738056978279, '5%': -2.8974898650628984, '10%': -2.585948732897085}",True,False,False,True,True,True,-6.190800538706754,6.129756595364496e-08,"{'1%': -3.5087828609430614, '5%': -2.895783561573195, '10%': -2.5850381719848565}",-4.270733707683553,0.0004990056384260935,"{'1%': -3.512738056978279, '5%': -2.8974898650628984, '10%': -2.585948732897085}",True,True,True,True,True,True,0.9476,0.5661,0.9423,0.1009,0.2033,0.2072,0.0029,0.0909,0.2089,0.6389,0.5584,0.5897,0.4986,0.349,0.5263,0.297,0.2304,0.1465,0.3174,0.2413,0.336,0.1863,0.2817,0.3092,0.6885,0.6459,0.7685,0.4713,0.259,0.4489,0.1469,0.1855,0.2613,0.3508,0.3147,0.643,0.3331,0.3001,0.5703,0.3163,0.6325,0.6726,7.0,,,,,
Ab,-30.040087264059686,0.0,"{'1%': -3.506944401824286, '5%': -2.894989819214876, '10%': -2.584614550619835}",-1.8596498940020783,0.35127450860590037,"{'1%': -3.5097356063504983, '5%': -2.8961947486260944, '10%': -2.5852576124567475}",True,True,False,True,True,True,-9.52914900590858,2.9224948341446833e-16,"{'1%': -3.5087828609430614, '5%': -2.895783561573195, '10%': -2.5850381719848565}",-7.797591382617074,7.643953101739641e-12,"{'1%': -3.5097356063504983, '5%': -2.8961947486260944, '10%': -2.5852576124567475}",True,True,True,True,True,True,0.7809,0.803,0.7574,0.8496,0.2528,0.4493,0.3735,0.6951,0.7318,0.8854,0.7655,0.7542,0.3266,0.0287,0.7145,0.0037,0.0033,0.0137,0.0082,0.0469,0.1857,0.0796,0.0505,0.0002,0.001,0.0027,0.009,0.0141,0.7672,0.9259,0.0748,0.0244,0.0073,0.0111,0.0017,0.1229,0.0927,0.5433,0.8567,0.8296,0.8045,0.2328,,7.0,3.0,3.0,7.0,
Abend,-3.1756202043027737,0.02143996348230141,"{'1%': -3.5087828609430614, '5%': -2.895783561573195, '10%': -2.5850381719848565}",-1.922894060272919,0.3213688435856221,"{'1%': -3.5097356063504983, '5%': -2.8961947486260944, '10%': -2.5852576124567475}",True,True,False,True,True,True,-5.9693316738473285,1.95318618753747e-07,"{'1%': -3.5087828609430614, '5%': -2.895783561573195, '10%': -2.5850381719848565}",-3.5814232985048697,0.006126268558677683,"{'1%': -3.5137900174243235, '5%': -2.8979433868293945, '10%': -2.5861907285474777}",True,True,True,True,True,True,0.7352,0.8463,0.7297,0.0727,0.1224,0.0023,0.0045,0.7931,0.8228,0.3935,0.4494,0.3289,0.0955,0.2337,0.3465,0.0727,0.0291,0.1835,0.1319,0.3063,0.8418,0.6751,0.7713,0.011,0.0228,0.5059,0.7158,0.8368,0.3666,0.0005,0.0044,0.0431,0.1075,0.0005,0.0009,0.1723,0.001,0.0199,0.5556,0.0293,0.0506,0.0055,6.0,,3.0,3.0,2.0,2.0
Aber,-2.6623276898272827,0.08078714420462713,"{'1%': -3.510711795769895, '5%': -2.8966159448223734, '10%': -2.5854823866213152}",-2.7196528205951407,0.07069877607590981,"{'1%': -3.5097356063504983, '5%': -2.8961947486260944, '10%': -2.5852576124567475}",False,False,False,True,True,True,-3.9945110255610987,0.0014395274329984736,"{'1%': -3.510711795769895, '5%': -2.8966159448223734, '10%': -2.5854823866213152}",-4.074452922952587,0.001067103421774613,"{'1%': -3.5137900174243235, '5%': -2.8979433868293945, '10%': -2.5861907285474777}",True,True,True,True,True,True,0.7516,0.7057,0.9323,0.9447,0.8769,0.8433,0.3644,0.2936,0.5841,0.8743,0.6303,0.7346,0.9193,0.8989,0.6128,0.7668,0.5845,0.669,0.634,0.6044,0.1236,0.1488,0.3676,0.9951,0.9859,0.575,0.1007,0.0462,0.7566,0.0141,0.229,0.9211,0.0747,0.0018,0.0011,0.1059,0.0003,0.0031,0.0107,0.016,0.049,0.047,,,,7.0,7.0,2.0
Abschied,-1.6250957557849153,0.47005881585603554,"{'1%': -3.5148692050781247, '5%': -2.8984085156250003, '10%': -2.58643890625}",-1.0545060438978653,0.7328694168850072,"{'1%': -3.5148692050781247, '5%': -2.8984085156250003, '10%': -2.58643890625}",False,False,False,True,True,False,-6.133447207986887,8.295103704658443e-08,"{'1%': -3.5148692050781247, '5%': -2.8984085156250003, '10%': -2.58643890625}",-2.8215438177148293,0.055261673866905156,"{'1%': -3.5159766913976376, '5%': -2.898885703483903, '10%': -2.5866935058484217}",True,True,False,True,True,True,0.4631,0.4733,0.1492,0.1994,0.1883,0.0651,0.1262,0.2832,0.0821,0.0536,0.1779,0.2911,0.0804,0.071,0.1107,0.1035,0.4505,0.2866,0.2148,0.4195,0.4736,0.2603,0.0174,0.042,0.5792,0.109,0.1944,0.5385,0.1619,0.3514,0.322,0.4782,0.6019,0.4945,0.5467,0.9035,0.9948,0.894,0.9391,0.8349,0.6759,0.6895,,,,2.0,,
Abstieg,-4.162318894387784,0.0007626474404384786,"{'1%': -3.505190196159122, '5%': -2.894232085048011, '10%': -2.5842101234567902}",-1.7639058227285482,0.3985228861772169,"{'1%': -3.506944401824286, '5%': -2.894989819214876, '10%': -2.584614550619835}",True,True,False,True,True,True,-5.939428416511474,2.2795442230695214e-07,"{'1%': -3.5087828609430614, '5%': -2.895783561573195, '10%': -2.5850381719848565}",-8.25616330043515,5.230338201085204e-13,"{'1%': -3.506944401824286, '5%': -2.894989819214876, '10%': -2.584614550619835}",True,True,True,True,True,True,0.1659,0.0042,0.0499,0.07,0.0967,0.3689,0.3184,0.0008,0.0011,0.0038,0.0102,0.0012,0.001,0.0019,0.1885,0.3578,0.2768,0.4893,0.4798,0.4052,0.4217,0.7228,0.8731,0.7588,0.8725,0.6892,0.6217,0.6964,0.4676,0.0135,0.1197,0.0872,0.0821,0.1053,0.1333,0.0705,0.1829,0.4594,0.6776,0.74,0.8231,0.914,2.0,1.0,,,2.0,
Absturz,-2.3799818803013166,0.14746626478859437,"{'1%': -3.5148692050781247, '5%': -2.8984085156250003, '10%': -2.58643890625}",-3.100413955084118,0.026522569117749542,"{'1%': -3.5137900174243235, '5%': -2.8979433868293945, '10%': -2.5861907285474777}",False,False,True,True,False,True,-3.690255705517488,0.00425232288232046,"{'1%': -3.5148692050781247, '5%': -2.8984085156250003, '10%': -2.58643890625}",-3.81303578329446,0.0027767226882311462,"{'1%': -3.5159766913976376, '5%': -2.898885703483903, '10%': -2.5866935058484217}",True,True,True,True,True,True,0.0478,0.0024,0.0924,0.1017,0.0277,0.0601,0.0901,0.0244,0.0519,0.6713,0.5266,0.6406,0.5757,0.6442,0.5974,0.264,0.3414,0.5542,0.4482,0.0911,0.0538,0.816,0.9142,0.6729,0.3722,0.0282,0.0969,0.9552,0.6618,0.6002,0.0368,0.0982,0.1984,0.0,0.0,0.7917,0.5835,0.3312,0.5964,0.1253,0.1087,0.0385,2.0,1.0,,5.0,6.0,7.0
Acht,-3.271427551500111,0.01620498440245521,"{'1%': -3.5148692050781247, '5%': -2.8984085156250003, '10%': -2.58643890625}",-5.318917089576044,5.002631052113204e-06,"{'1%': -3.506944401824286, '5%': -2.894989819214876, '10%': -2.584614550619835}",True,True,True,True,True,True,-4.9451943530082785,2.8457683588982256e-05,"{'1%': -3.5137900174243235, '5%': -2.8979433868293945, '10%': -2.5861907285474777}",-6.308721103009607,3.274505636626848e-08,"{'1%': -3.5087828609430614, '5%': -2.895783561573195, '10%': -2.5850381719848565}",True,True,True,True,True,True,0.3046,0.0056,0.0345,0.0681,0.1472,0.1739,0.2234,0.0772,0.0731,0.7127,0.703,0.4032,0.2988,0.3181,0.9918,0.3044,0.0905,0.1024,0.1845,0.1874,0.0774,0.1205,0.2535,0.7644,0.701,0.7113,0.5042,0.5823,0.7513,0.2414,0.2935,0.6468,0.759,0.4674,0.4631,0.914,0.3118,0.0025,0.015,0.2314,0.119,0.1867,2.0,,,,,3.0
