keyword_name,ADF_Statistics_wiki_before_diff,ADF_p_value_wiki_before_diff,ADF_critical_values_wiki_before_diff,ADF_Statistics_news_before_diff,ADF_p_value_news_before_diff,ADF_critical_values_news_before_diff,ADF_stationary_wiki_before_diff,ADF_stationary_news_before_diff,ADF_stationary_google_before_diff,KPSS_stationary_wiki_before_diff,KPSS_stationary_news_before_diff,KPSS_stationary_google_before_diff,ADF_Statistics_wiki_after_diff,ADF_p_value_wiki_after_diff,ADF_critical_values_wiki_after_diff,ADF_Statistics_news_after_diff,ADF_p_value_news_after_diff,ADF_critical_values_news_after_diff,ADF_stationary_wiki_after_diff,ADF_stationary_news_after_diff,ADF_stationary_google_after_diff,KPSS_stationary_wiki_after_diff,KPSS_stationary_news_after_diff,KPSS_stationary_google_after_diff,ssr_ftest_pValue_lag1_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag2_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag3_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag4_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag5_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag6_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag7_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag1_after_diff_Wikipedia_grangerCauses_News,ssr_ftest_pValue_lag2_after_diff_Wikipedia_grangerCauses_News,ssr_ftest_pValue_lag3_after_diff_Wikipedia_grangerCauses_News,ssr_ftest_pValue_lag4_after_diff_Wikipedia_grangerCauses_News,ssr_ftest_pValue_lag5_after_diff_Wikipedia_grangerCauses_News,ssr_ftest_pValue_lag6_after_diff_Wikipedia_grangerCauses_News,ssr_ftest_pValue_lag7_after_diff_Wikipedia_grangerCauses_News,ssr_ftest_pValue_lag1_after_diff_News_grangerCauses_Google,ssr_ftest_pValue_lag2_after_diff_News_grangerCauses_Google,ssr_ftest_pValue_lag3_after_diff_News_grangerCauses_Google,ssr_ftest_pValue_lag4_after_diff_News_grangerCauses_Google,ssr_ftest_pValue_lag5_after_diff_News_grangerCauses_Google,ssr_ftest_pValue_lag6_after_diff_News_grangerCauses_Google,ssr_ftest_pValue_lag7_after_diff_News_grangerCauses_Google,ssr_ftest_pValue_lag1_after_diff_Google_grangerCauses_News,ssr_ftest_pValue_lag2_after_diff_Google_grangerCauses_News,ssr_ftest_pValue_lag3_after_diff_Google_grangerCauses_News,ssr_ftest_pValue_lag4_after_diff_Google_grangerCauses_News,ssr_ftest_pValue_lag5_after_diff_Google_grangerCauses_News,ssr_ftest_pValue_lag6_after_diff_Google_grangerCauses_News,ssr_ftest_pValue_lag7_after_diff_Google_grangerCauses_News,ssr_ftest_pValue_lag1_after_diff_Google_grangerCauses_Wikipedia,ssr_ftest_pValue_lag2_after_diff_Google_grangerCauses_Wikipedia,ssr_ftest_pValue_lag3_after_diff_Google_grangerCauses_Wikipedia,ssr_ftest_pValue_lag4_after_diff_Google_grangerCauses_Wikipedia,ssr_ftest_pValue_lag5_after_diff_Google_grangerCauses_Wikipedia,ssr_ftest_pValue_lag6_after_diff_Google_grangerCauses_Wikipedia,ssr_ftest_pValue_lag7_after_diff_Google_grangerCauses_Wikipedia,ssr_ftest_pValue_lag1_after_diff_Wikipedia_grangerCauses_Google,ssr_ftest_pValue_lag2_after_diff_Wikipedia_grangerCauses_Google,ssr_ftest_pValue_lag3_after_diff_Wikipedia_grangerCauses_Google,ssr_ftest_pValue_lag4_after_diff_Wikipedia_grangerCauses_Google,ssr_ftest_pValue_lag5_after_diff_Wikipedia_grangerCauses_Google,ssr_ftest_pValue_lag6_after_diff_Wikipedia_grangerCauses_Google,ssr_ftest_pValue_lag7_after_diff_Wikipedia_grangerCauses_Google,lowest_lag_after_diff_News_grangerCauses_Wikipedia,lowest_lag_after_diff_Wikipedia_grangerCauses_News,lowest_lag_after_diff_News_grangerCauses_Google,lowest_lag_after_diff_Google_grangerCauses_News,lowest_lag_after_diff_Google_grangerCauses_Wikipedia,lowest_lag_after_diff_Wikipedia_grangerCauses_Google
2G,-3.704932851827425,0.004044301754108595,"{'1%': -3.4698858990744115, '5%': -2.8789026251889647, '10%': -2.5760266680839004}",-3.262588509122408,0.016635868591319044,"{'1%': -3.47086589632514, '5%': -2.879330279087651, '10%': -2.57625492712671}",True,True,True,False,False,False,-6.4374314531212935,1.6395754918997536e-08,"{'1%': -3.4698858990744115, '5%': -2.8789026251889647, '10%': -2.5760266680839004}",-4.015556347794265,0.0013312088139345504,"{'1%': -3.47086589632514, '5%': -2.879330279087651, '10%': -2.57625492712671}",True,True,True,True,False,True,0.2146,0.018,0.4176,0.4742,0.442,0.2386,0.058,0.0304,0.0,0.0013,0.6078,0.5345,0.3154,0.2959,0.594,0.0,0.0002,0.0071,0.2137,0.3581,0.0328,0.1394,0.0036,0.0001,0.7605,0.5446,0.2944,0.0001,0.1967,0.0068,0.0,0.0,0.0389,0.0008,0.0,0.5738,0.0262,0.008,0.0313,0.8031,0.847,0.4845,2.0,2.0,2.0,3.0,3.0,3.0
9-Euro-Ticket,-1.6525227884870328,0.4557250499329896,"{'1%': -3.4703698981001665, '5%': -2.8791138497902193, '10%': -2.576139407751488}",-1.8871252027504888,0.3381418497911115,"{'1%': -3.47086589632514, '5%': -2.879330279087651, '10%': -2.57625492712671}",False,False,False,False,False,False,-4.5654623351601185,0.00014948752256717347,"{'1%': -3.4703698981001665, '5%': -2.8791138497902193, '10%': -2.576139407751488}",-3.509827941314854,0.00773825008634502,"{'1%': -3.47086589632514, '5%': -2.879330279087651, '10%': -2.57625492712671}",True,True,True,True,True,True,0.1007,0.2234,0.6564,0.3759,0.0073,0.0284,0.0834,0.3295,0.0124,0.7966,0.4475,0.8156,0.5094,0.2123,0.9525,0.675,0.0001,0.0005,0.0004,0.0,0.0,0.2488,0.4099,0.6377,0.1836,0.0001,0.0,0.0,0.5882,0.5542,0.0257,0.0852,0.0025,0.0,0.0,0.3287,0.0335,0.0103,0.0061,0.0051,0.0177,0.0091,5.0,2.0,6.0,6.0,6.0,5.0
A1,-0.8792049216144358,0.7947433822801548,"{'1%': -3.470616369591229, '5%': -2.8792214018977655, '10%': -2.57619681359045}",-2.0311461133544584,0.2730857526752758,"{'1%': -3.4703698981001665, '5%': -2.8791138497902193, '10%': -2.576139407751488}",False,True,False,True,True,False,-6.431910097599978,1.6892137491832276e-08,"{'1%': -3.47086589632514, '5%': -2.879330279087651, '10%': -2.57625492712671}",-5.7929386156212646,4.824947485230949e-07,"{'1%': -3.47086589632514, '5%': -2.879330279087651, '10%': -2.57625492712671}",True,True,True,True,True,True,0.1458,0.0635,0.1676,0.1518,0.493,0.6679,0.1442,0.8899,0.5224,0.8048,0.5339,0.4625,0.1717,0.2657,0.9503,0.9551,0.7684,0.1776,0.0973,0.2359,0.1636,0.1447,0.2558,0.9565,0.9275,0.7301,0.7657,0.8008,0.5475,0.7443,0.0261,0.0001,0.0037,0.0062,0.0006,0.4565,0.0059,0.0616,0.1774,0.0122,0.0301,0.0035,,,,,4.0,7.0
A4,-1.9552208941944451,0.3065454918039857,"{'1%': -3.470126426071447, '5%': -2.8790075987120027, '10%': -2.5760826967621644}",-2.311531916748877,0.16827566896076518,"{'1%': -3.4703698981001665, '5%': -2.8791138497902193, '10%': -2.576139407751488}",False,False,False,True,True,True,-4.785343008569818,5.800806022979325e-05,"{'1%': -3.470616369591229, '5%': -2.8792214018977655, '10%': -2.57619681359045}",-7.444202399365339,5.896867709456637e-11,"{'1%': -3.47086589632514, '5%': -2.879330279087651, '10%': -2.57625492712671}",True,True,True,True,True,True,0.1438,0.1731,0.3178,0.2344,0.5152,0.616,0.7437,0.6719,0.2662,0.7641,0.9056,0.8995,0.9907,0.4414,0.4238,0.0106,0.1071,0.1379,0.5823,0.6082,0.6876,0.0449,0.0309,0.2842,0.7432,0.3834,0.4792,0.5223,0.0471,0.0268,0.0006,0.0005,0.4847,0.2169,0.037,0.1475,0.0,0.0002,0.0057,0.2073,0.4564,0.3171,,,2.0,2.0,4.0,2.0
A7,-3.778805457559316,0.0031317609342141556,"{'1%': -3.4698858990744115, '5%': -2.8789026251889647, '10%': -2.5760266680839004}",-2.7883379569995546,0.05995901422992692,"{'1%': -3.470126426071447, '5%': -2.8790075987120027, '10%': -2.5760826967621644}",True,True,False,True,True,True,-5.712182895365548,7.256851053494896e-07,"{'1%': -3.471374345647024, '5%': -2.8795521079291966, '10%': -2.5763733302850174}",-6.596568574223135,6.901699087271366e-09,"{'1%': -3.4703698981001665, '5%': -2.8791138497902193, '10%': -2.576139407751488}",True,True,True,False,True,True,0.4725,0.5429,0.6231,0.3075,0.4458,0.2886,0.0306,0.1949,0.1958,0.3153,0.4689,0.4476,0.4489,0.5475,0.4226,0.1845,0.6239,0.6191,0.0521,0.1287,0.223,0.945,0.7203,0.907,0.8493,0.8624,0.8005,0.6154,0.2034,0.3987,0.0563,0.0813,0.1674,0.1235,0.1279,0.7334,0.2271,0.2635,0.4993,0.1173,0.2293,0.2517,7.0,,,,,
Ab,-3.2004845403910225,0.019956649244387427,"{'1%': -3.470616369591229, '5%': -2.8792214018977655, '10%': -2.57619681359045}",-2.1256972735096746,0.23430791320309718,"{'1%': -3.469648263987657, '5%': -2.878798906308495, '10%': -2.5759713094779593}",True,True,False,True,True,False,-6.456111384392924,1.4820573546156067e-08,"{'1%': -3.471374345647024, '5%': -2.8795521079291966, '10%': -2.5763733302850174}",-7.770505291623631,8.947519339273773e-12,"{'1%': -3.469648263987657, '5%': -2.878798906308495, '10%': -2.5759713094779593}",True,True,True,False,True,True,0.317,0.6026,0.1291,0.2027,0.2907,0.4694,0.4542,0.5873,0.3887,0.2348,0.3352,0.4652,0.662,0.6624,0.0631,0.0802,0.2709,0.3118,0.3744,0.5711,0.5662,0.3227,0.5922,0.059,0.0652,0.0314,0.0109,0.042,0.5975,0.7601,0.9378,0.9481,0.9672,0.9262,0.9227,0.5499,0.6503,0.7818,0.9191,0.9727,0.9853,0.9949,,,,6.0,,
Aber,-5.924019824209914,2.4679915549734717e-07,"{'1%': -3.4685016947910636, '5%': -2.8782983668563396, '10%': -2.57570415906989}",-3.750292660916468,0.003458854357165343,"{'1%': -3.4691814633722453, '5%': -2.878595143532943, '10%': -2.5758625549741803}",True,True,True,True,True,True,-8.970541480441026,7.775473000473718e-15,"{'1%': -3.4691814633722453, '5%': -2.878595143532943, '10%': -2.5758625549741803}",-10.393385236945548,1.993943431546873e-18,"{'1%': -3.4691814633722453, '5%': -2.878595143532943, '10%': -2.5758625549741803}",True,True,True,True,True,True,0.8858,0.8617,0.4995,0.3284,0.3882,0.6583,0.4863,0.6591,0.9131,0.919,0.9493,0.4758,0.6397,0.7527,0.5815,0.6907,0.64,0.6866,0.1779,0.1301,0.3427,0.4991,0.6374,0.2849,0.0332,0.0161,0.0493,0.1229,0.1344,0.2719,0.0266,0.0226,0.0884,0.0059,0.0102,0.4384,0.7077,0.6101,0.6137,0.5601,0.8938,0.9057,,,,5.0,6.0,
Abschied,-2.22397339779776,0.1976598245042036,"{'1%': -3.470616369591229, '5%': -2.8792214018977655, '10%': -2.57619681359045}",-1.3737311422451752,0.5948029552353047,"{'1%': -3.47086589632514, '5%': -2.879330279087651, '10%': -2.57625492712671}",False,False,False,True,False,False,-9.043324787742492,5.064159021871093e-15,"{'1%': -3.470616369591229, '5%': -2.8792214018977655, '10%': -2.57619681359045}",-3.9038722780491506,0.002006533370934948,"{'1%': -3.47086589632514, '5%': -2.879330279087651, '10%': -2.57625492712671}",True,True,True,True,True,True,0.6018,0.2877,0.0572,0.0655,0.1027,0.0582,0.137,0.615,0.5422,0.5134,0.6122,0.7366,0.5176,0.2576,0.0421,0.043,0.7898,0.7814,0.8701,0.866,0.9664,0.4529,0.0743,0.2332,0.0361,0.033,0.0214,0.0056,0.0357,0.0563,0.085,0.1538,0.1869,0.1038,0.1241,0.8566,0.8958,0.7839,0.9172,0.8657,0.8442,0.8326,,,1.0,7.0,1.0,
Abstieg,-4.961239907724977,2.6465905135045946e-05,"{'1%': -3.4687256239864017, '5%': -2.8783961376954363, '10%': -2.57575634100705}",-1.9436346268998963,0.3118204453650706,"{'1%': -3.468952197801766, '5%': -2.878495056473015, '10%': -2.57580913601947}",True,False,False,True,True,False,-8.501916370748363,1.2317526647466242e-13,"{'1%': -3.4691814633722453, '5%': -2.878595143532943, '10%': -2.5758625549741803}",-4.7942596769818335,5.577788360111734e-05,"{'1%': -3.47086589632514, '5%': -2.879330279087651, '10%': -2.57625492712671}",True,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,0.0001,0.0004,0.1015,0.0023,0.0334,0.0964,0.0304,0.0158,0.0257,0.0007,0.0024,0.0788,0.2261,0.1609,0.1348,0.2077,0.0136,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0055,0.0207,0.1254,0.2377,0.3072,0.3757,0.4946,1.0,1.0,2.0,1.0,2.0,1.0
Acht,-2.2560665930412616,0.18652890967893754,"{'1%': -3.470126426071447, '5%': -2.8790075987120027, '10%': -2.5760826967621644}",-2.290875609261117,0.17492765842760438,"{'1%': -3.47086589632514, '5%': -2.879330279087651, '10%': -2.57625492712671}",False,True,False,False,True,True,-5.908213563142323,2.67714067532456e-07,"{'1%': -3.4703698981001665, '5%': -2.8791138497902193, '10%': -2.576139407751488}",-7.115190989171399,3.8471495328488004e-10,"{'1%': -3.470616369591229, '5%': -2.8792214018977655, '10%': -2.57619681359045}",True,True,True,True,True,True,0.9367,0.5752,0.6874,0.7543,0.9388,0.8275,0.8702,0.7027,0.734,0.9008,0.9042,0.6981,0.8348,0.5685,0.8707,0.3529,0.3944,0.4433,0.0105,0.011,0.0172,0.2722,0.3001,0.1502,0.1732,0.2611,0.3282,0.4213,0.2491,0.1424,0.5864,0.5044,0.1061,0.0733,0.1031,0.6792,0.0258,0.0,0.0,0.1999,0.2114,0.2991,,,5.0,,,3.0
