keyword_name,ADF_Statistics_wiki_before_diff,ADF_p_value_wiki_before_diff,ADF_critical_values_wiki_before_diff,ADF_Statistics_news_before_diff,ADF_p_value_news_before_diff,ADF_critical_values_news_before_diff,ADF_stationary_wiki_before_diff,ADF_stationary_news_before_diff,ADF_stationary_google_before_diff,KPSS_stationary_wiki_before_diff,KPSS_stationary_news_before_diff,KPSS_stationary_google_before_diff,ADF_Statistics_wiki_after_diff,ADF_p_value_wiki_after_diff,ADF_critical_values_wiki_after_diff,ADF_Statistics_news_after_diff,ADF_p_value_news_after_diff,ADF_critical_values_news_after_diff,ADF_stationary_wiki_after_diff,ADF_stationary_news_after_diff,ADF_stationary_google_after_diff,KPSS_stationary_wiki_after_diff,KPSS_stationary_news_after_diff,KPSS_stationary_google_after_diff,ssr_ftest_pValue_lag1_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag2_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag3_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag4_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag5_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag6_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag7_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag1_after_diff_Wikipedia_grangerCauses_News,ssr_ftest_pValue_lag2_after_diff_Wikipedia_grangerCauses_News,ssr_ftest_pValue_lag3_after_diff_Wikipedia_grangerCauses_News,ssr_ftest_pValue_lag4_after_diff_Wikipedia_grangerCauses_News,ssr_ftest_pValue_lag5_after_diff_Wikipedia_grangerCauses_News,ssr_ftest_pValue_lag6_after_diff_Wikipedia_grangerCauses_News,ssr_ftest_pValue_lag7_after_diff_Wikipedia_grangerCauses_News,ssr_ftest_pValue_lag1_after_diff_News_grangerCauses_Google,ssr_ftest_pValue_lag2_after_diff_News_grangerCauses_Google,ssr_ftest_pValue_lag3_after_diff_News_grangerCauses_Google,ssr_ftest_pValue_lag4_after_diff_News_grangerCauses_Google,ssr_ftest_pValue_lag5_after_diff_News_grangerCauses_Google,ssr_ftest_pValue_lag6_after_diff_News_grangerCauses_Google,ssr_ftest_pValue_lag7_after_diff_News_grangerCauses_Google,ssr_ftest_pValue_lag1_after_diff_Google_grangerCauses_News,ssr_ftest_pValue_lag2_after_diff_Google_grangerCauses_News,ssr_ftest_pValue_lag3_after_diff_Google_grangerCauses_News,ssr_ftest_pValue_lag4_after_diff_Google_grangerCauses_News,ssr_ftest_pValue_lag5_after_diff_Google_grangerCauses_News,ssr_ftest_pValue_lag6_after_diff_Google_grangerCauses_News,ssr_ftest_pValue_lag7_after_diff_Google_grangerCauses_News,ssr_ftest_pValue_lag1_after_diff_Google_grangerCauses_Wikipedia,ssr_ftest_pValue_lag2_after_diff_Google_grangerCauses_Wikipedia,ssr_ftest_pValue_lag3_after_diff_Google_grangerCauses_Wikipedia,ssr_ftest_pValue_lag4_after_diff_Google_grangerCauses_Wikipedia,ssr_ftest_pValue_lag5_after_diff_Google_grangerCauses_Wikipedia,ssr_ftest_pValue_lag6_after_diff_Google_grangerCauses_Wikipedia,ssr_ftest_pValue_lag7_after_diff_Google_grangerCauses_Wikipedia,ssr_ftest_pValue_lag1_after_diff_Wikipedia_grangerCauses_Google,ssr_ftest_pValue_lag2_after_diff_Wikipedia_grangerCauses_Google,ssr_ftest_pValue_lag3_after_diff_Wikipedia_grangerCauses_Google,ssr_ftest_pValue_lag4_after_diff_Wikipedia_grangerCauses_Google,ssr_ftest_pValue_lag5_after_diff_Wikipedia_grangerCauses_Google,ssr_ftest_pValue_lag6_after_diff_Wikipedia_grangerCauses_Google,ssr_ftest_pValue_lag7_after_diff_Wikipedia_grangerCauses_Google,lowest_lag_after_diff_News_grangerCauses_Wikipedia,lowest_lag_after_diff_Wikipedia_grangerCauses_News,lowest_lag_after_diff_News_grangerCauses_Google,lowest_lag_after_diff_Google_grangerCauses_News,lowest_lag_after_diff_Google_grangerCauses_Wikipedia,lowest_lag_after_diff_Wikipedia_grangerCauses_Google
2G,-1.3635415393903407,0.5996246576531288,"{'1%': -3.542412746661615, '5%': -2.910236235808284, '10%': -2.5927445767266866}",-1.2516090138580496,0.6510104981027416,"{'1%': -3.5506699942762414, '5%': -2.913766394626147, '10%': -2.5946240473991997}",False,False,False,False,False,False,-3.6755963196793338,0.0044698060500350505,"{'1%': -3.542412746661615, '5%': -2.910236235808284, '10%': -2.5927445767266866}",-3.1712144228647756,0.021712542787113688,"{'1%': -3.5506699942762414, '5%': -2.913766394626147, '10%': -2.5946240473991997}",True,True,True,True,True,True,0.3818,0.0616,0.4998,0.9152,0.7031,0.3952,0.1799,0.2264,0.032,0.1268,0.5224,0.4649,0.7155,0.4763,0.63,0.0001,0.002,0.0217,0.3553,0.2773,0.5729,0.5,0.0988,0.0072,0.4542,0.3413,0.7589,0.4936,0.2888,0.0144,0.0036,0.0028,0.2045,0.0553,0.0053,0.729,0.1538,0.0938,0.2484,0.9773,0.9922,0.5002,,2.0,2.0,3.0,4.0,
Ab,-2.9389582443410944,0.04100163494689885,"{'1%': -3.5352168748293127, '5%': -2.9071540828402367, '10%': -2.5911025443786984}",-1.841459879857137,0.3600808189535165,"{'1%': -3.542412746661615, '5%': -2.910236235808284, '10%': -2.5927445767266866}",True,True,False,True,True,True,-5.51646115190453,1.920118183676819e-06,"{'1%': -3.540522678829176, '5%': -2.9094272025108254, '10%': -2.5923136524453696}",-4.326558385413369,0.0003994517177517323,"{'1%': -3.5443688564814813, '5%': -2.9110731481481484, '10%': -2.5931902777777776}",True,True,True,True,True,True,0.8317,0.8711,0.9576,0.986,0.9562,0.9756,0.9861,0.2443,0.3789,0.5126,0.5871,0.7719,0.8855,0.9332,0.7636,0.774,0.8892,0.9018,0.8242,0.7957,0.8251,0.9269,0.3191,0.293,0.7891,0.66,0.6219,0.8415,0.5324,0.6963,0.929,0.875,0.9531,0.9554,0.9862,0.6937,0.2955,0.7044,0.8711,0.9289,0.957,0.9748,,,,,,
Abend,-2.7719168997740176,0.06239856086398744,"{'1%': -3.548493559596539, '5%': -2.912836594776334, '10%': -2.594129155766944}",-2.066035263392382,0.2583894112056414,"{'1%': -3.542412746661615, '5%': -2.910236235808284, '10%': -2.5927445767266866}",False,True,False,True,True,True,-4.69726247626422,8.51549003135388e-05,"{'1%': -3.540522678829176, '5%': -2.9094272025108254, '10%': -2.5923136524453696}",-6.597055597387016,6.883335787129286e-09,"{'1%': -3.5443688564814813, '5%': -2.9110731481481484, '10%': -2.5931902777777776}",True,True,True,True,True,True,0.4308,0.1648,0.017,0.0216,0.0877,0.0573,0.1163,0.7761,0.5297,0.4705,0.7048,0.8572,0.2368,0.2474,0.3574,0.0171,0.0081,0.1424,0.014,0.0098,0.0896,0.2721,0.306,0.493,0.6311,0.2575,0.009,0.0847,0.6061,0.1953,0.03,0.0025,0.1821,0.2088,0.1447,0.5543,0.4954,0.6741,0.5398,0.4021,0.4606,0.6946,3.0,,3.0,6.0,4.0,
Abschied,-0.9649251892172899,0.7658411714650415,"{'1%': -3.5506699942762414, '5%': -2.913766394626147, '10%': -2.5946240473991997}",-2.788659679905902,0.0599119999200477,"{'1%': -3.542412746661615, '5%': -2.910236235808284, '10%': -2.5927445767266866}",False,True,False,True,True,True,-4.180375071950114,0.0007111540902680906,"{'1%': -3.552928203580539, '5%': -2.9147306250000002, '10%': -2.595137155612245}",-3.665287968238093,0.004628765753354953,"{'1%': -3.542412746661615, '5%': -2.910236235808284, '10%': -2.5927445767266866}",True,True,True,True,True,True,0.3653,0.6462,0.7548,0.2122,0.0242,0.0667,0.0883,0.9378,0.8321,0.2325,0.4599,0.2698,0.3195,0.5065,0.0827,0.0424,0.5244,0.4188,0.5905,0.6539,0.6522,0.8583,0.0184,0.1079,0.1314,0.0741,0.1867,0.2355,0.0028,0.0042,0.0153,0.0002,0.0001,0.028,0.0626,0.9159,0.7867,0.7904,0.7437,0.2875,0.4145,0.4638,5.0,,2.0,2.0,5.0,
Acht,-2.169867887364016,0.2173628293161427,"{'1%': -3.542412746661615, '5%': -2.910236235808284, '10%': -2.5927445767266866}",-2.705956634507991,0.07301317091911987,"{'1%': -3.5443688564814813, '5%': -2.9110731481481484, '10%': -2.5931902777777776}",False,False,False,True,True,True,-2.763731775278232,0.06364408541659124,"{'1%': -3.5463945337644063, '5%': -2.911939409384601, '10%': -2.5936515282964665}",-3.1633889247714304,0.022204107809055837,"{'1%': -3.548493559596539, '5%': -2.912836594776334, '10%': -2.594129155766944}",False,True,True,True,True,True,0.9962,0.0921,0.1638,0.2895,0.5247,0.4641,0.6432,0.7365,0.7396,0.3996,0.4173,0.4809,0.6431,0.348,0.5483,0.0012,0.0039,0.0062,0.0546,0.0748,0.0957,0.5635,0.8713,0.5859,0.78,0.5883,0.1778,0.2923,0.355,0.0925,0.5098,0.4715,0.1459,0.0618,0.0782,0.7585,0.0212,0.001,0.0058,0.6501,0.5238,0.6701,,,2.0,,,3.0
Alarm,-4.614942731633409,0.00012122119776659838,"{'1%': -3.5319549603840894, '5%': -2.905755128523123, '10%': -2.5903569458676765}",-1.3949685840498582,0.5846858514155212,"{'1%': -3.542412746661615, '5%': -2.910236235808284, '10%': -2.5927445767266866}",True,True,False,False,True,True,-4.5234318493507795,0.0001783330763919019,"{'1%': -3.540522678829176, '5%': -2.9094272025108254, '10%': -2.5923136524453696}",-5.834581644142999,3.9034722451916866e-07,"{'1%': -3.542412746661615, '5%': -2.910236235808284, '10%': -2.5927445767266866}",True,True,True,True,True,True,0.5335,0.3102,0.2148,0.1483,0.1777,0.1181,0.1084,0.4065,0.5366,0.5651,0.1116,0.1478,0.2616,0.3707,0.9496,0.7607,0.7052,0.3863,0.6182,0.8111,0.927,0.5171,0.6253,0.3498,0.4357,0.5529,0.9061,0.5388,0.1759,0.0747,0.872,0.9708,0.8812,0.4148,0.1936,0.8664,0.3269,0.2226,0.2531,0.2726,0.3404,0.4219,,,,,,
Alba,-3.087764806271643,0.027471997729918474,"{'1%': -3.53692771987915, '5%': -2.907887369384766, '10%': -2.591493291015625}",-3.357189566466519,0.012507780291763585,"{'1%': -3.53692771987915, '5%': -2.907887369384766, '10%': -2.591493291015625}",True,True,True,True,True,True,-4.315321279862254,0.00041784366271116095,"{'1%': -3.540522678829176, '5%': -2.9094272025108254, '10%': -2.5923136524453696}",-3.99420961212342,0.001441136771082836,"{'1%': -3.540522678829176, '5%': -2.9094272025108254, '10%': -2.5923136524453696}",True,True,True,True,True,True,0.404,0.4781,0.8005,0.2892,0.44,0.6687,0.636,0.8422,0.006,0.0019,0.0028,0.0047,0.0094,0.0119,0.9731,0.9846,0.811,0.2502,0.1628,0.1602,0.364,0.0045,0.0084,0.9277,0.97,0.9513,0.3801,0.2889,0.5378,0.5415,0.5184,0.9197,0.9193,0.9938,0.8095,0.9006,0.8034,0.5022,0.714,0.8397,0.826,0.9251,,3.0,,1.0,,
Alle,-2.8395797364159163,0.05283871115617204,"{'1%': -3.5352168748293127, '5%': -2.9071540828402367, '10%': -2.5911025443786984}",-2.0674271144047185,0.25781236213797953,"{'1%': -3.540522678829176, '5%': -2.9094272025108254, '10%': -2.5923136524453696}",False,True,False,True,True,True,-6.530748509133666,9.884194571583054e-09,"{'1%': -3.5352168748293127, '5%': -2.9071540828402367, '10%': -2.5911025443786984}",-5.97624969800822,1.8844713805389318e-07,"{'1%': -3.540522678829176, '5%': -2.9094272025108254, '10%': -2.5923136524453696}",True,True,True,True,True,True,0.2075,0.4256,0.3177,0.2434,0.2255,0.3525,0.0772,0.8236,0.3364,0.1504,0.1658,0.1174,0.3516,0.4451,0.8558,0.0807,0.0139,0.0463,0.4578,0.4932,0.2163,0.7616,0.9325,0.1635,0.3795,0.486,0.1603,0.2722,0.7384,0.9273,0.7229,0.8649,0.6297,0.7109,0.7592,0.9605,0.9722,0.9726,0.9713,0.8384,0.9016,0.9837,,,3.0,,,
Alles,-2.2418849351453924,0.19139620755375503,"{'1%': -3.5443688564814813, '5%': -2.9110731481481484, '10%': -2.5931902777777776}",-1.9400523753849075,0.31346000956294284,"{'1%': -3.542412746661615, '5%': -2.910236235808284, '10%': -2.5927445767266866}",False,False,False,True,False,True,-3.1460683718968183,0.023326500711453205,"{'1%': -3.5463945337644063, '5%': -2.911939409384601, '10%': -2.5936515282964665}",-2.8200294598427726,0.05546917057003063,"{'1%': -3.5463945337644063, '5%': -2.911939409384601, '10%': -2.5936515282964665}",True,True,False,True,True,True,0.5718,0.4557,0.4839,0.387,0.5815,0.5661,0.3045,0.4689,0.773,0.7136,0.2693,0.2445,0.2374,0.3606,0.6175,0.1243,0.1654,0.4024,0.2301,0.2394,0.2034,0.388,0.3931,0.6465,0.0888,0.166,0.3102,0.365,0.729,0.8228,0.082,0.0649,0.6248,0.4002,0.1316,0.8776,0.9632,0.9629,0.9356,0.5862,0.3194,0.1841,,,,,,
Als,-3.6528807270818806,0.004826919102342768,"{'1%': -3.5335601309235605, '5%': -2.9064436883991434, '10%': -2.590723948576676}",-1.4989800260349966,0.5340158449697723,"{'1%': -3.5443688564814813, '5%': -2.9110731481481484, '10%': -2.5931902777777776}",True,False,False,True,True,True,-3.927212091651306,0.0018434622811209743,"{'1%': -3.5506699942762414, '5%': -2.913766394626147, '10%': -2.5946240473991997}",-3.7717693908955323,0.0032097235907918866,"{'1%': -3.5443688564814813, '5%': -2.9110731481481484, '10%': -2.5931902777777776}",True,True,True,True,True,True,0.8056,0.9288,0.9904,0.997,0.9799,0.9806,0.9917,0.5904,0.8667,0.1423,0.177,0.1536,0.0396,0.643,0.888,0.6789,0.9335,0.107,0.2359,0.2005,0.1611,0.6224,0.8486,0.6268,0.5386,0.0232,0.0171,0.6015,0.479,0.0029,0.0078,0.2488,0.3329,0.3693,0.2562,0.9907,0.9339,0.6819,0.7588,0.1305,0.1891,0.3468,,6.0,,6.0,2.0,
