keyword_name,ADF_Statistics_wiki,ADF_p_value_wiki,ADF_critical_values_wiki,ADF_Statistics_news,ADF_p_value_news,ADF_critical_values_news,ssr_ftest_pValue_lag1,ssr_ftest_pValue_lag2,ssr_ftest_pValue_lag3,ssr_ftest_pValue_lag4,ssr_ftest_pValue_lag5,ssr_ftest_pValue_lag6,ssr_ftest_pValue_lag7,lowest_lag
2G,-6.152354929671527,7.509109546750829e-08,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",-2.9291288785125484,0.0420640507784741,"{'1%': -3.4753253063120644, '5%': -2.881274703275226, '10%': -2.5772928360116873}",0.1628,0.0447,0.0,0.0,0.0001,0.0002,0.0004,3.0
2G-Regel,-1.7815059300809726,0.3896813678001902,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",-2.6306081477982333,0.08683474033661281,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",0.2824,0.4765,0.6366,0.5006,0.5426,0.4408,0.3383,
3G,-5.992841617430682,1.729179265256797e-07,"{'1%': -3.4776006742422374, '5%': -2.882265832283648, '10%': -2.5778219289774156}",-11.61457463802301,2.4665580728577786e-21,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.9263,0.9745,0.8604,0.0692,0.1051,0.0899,0.1025,
A,-11.208058397690783,2.159864196232468e-20,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-12.570638773200054,2.0077620926068827e-23,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.0076,0.0377,0.0476,0.0806,0.1077,0.154,0.1452,1.0
Ab,-12.506756877668828,2.7298107296208635e-23,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-10.305089222821934,3.294815584235623e-18,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.8998,0.6889,0.3913,0.4013,0.4167,0.5142,0.627,
Abend,-9.755722742337916,7.799427264274404e-17,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-1.805622213413208,0.3776740149233909,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",0.486,0.6788,0.8283,0.9221,0.4056,0.3639,0.2718,
Abschied,-2.365277713045611,0.1517772359999322,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-9.578272644813923,2.1933078525311824e-16,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",0.0536,0.072,0.1079,0.164,0.2319,0.0868,0.119,
Acht,-6.551147052626052,8.844689247296915e-09,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-2.211029179187952,0.202266881370948,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",0.2852,0.5722,0.668,0.8069,0.8894,0.9452,0.9565,
Afghanistan,-5.304832423405014,5.350847606097261e-06,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-7.180302173203892,2.66060582940184e-10,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",0.7656,0.6393,0.5431,0.3704,0.5378,0.545,0.6853,
Alba,-4.742644844526391,6.992670422145878e-05,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-10.830658239217817,1.711503550790895e-19,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.7343,0.762,0.8502,0.8947,0.923,0.7433,0.2223,
Alle,-11.20065980250897,2.2482123212986883e-20,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-11.574134025223453,3.051584788366963e-21,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.4448,0.1166,0.0728,0.166,0.1148,0.1886,0.3273,
Alles,-10.729191788203748,3.0102965044664026e-19,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-6.656504880298787,4.968768504477045e-09,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",0.9642,0.3342,0.4662,0.5861,0.7557,0.7116,0.7755,
Als,-10.038902644924928,1.5145991875964152e-17,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-6.285438533322042,3.7079693908793266e-08,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",0.5022,0.5104,0.5497,0.7106,0.8743,0.9247,0.9501,
Am,-10.561164128928382,7.721806118309312e-19,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-1.7643694681081612,0.3982891626642162,"{'1%': -3.4769274060112707, '5%': -2.8819726324025625, '10%': -2.577665408088415}",0.8409,0.293,0.2593,0.401,0.5208,0.6152,0.4733,
Ampel,-1.7155335531714577,0.42312741649266544,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",-9.948830459474946,2.5466926682877782e-17,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.8903,0.9517,0.992,0.9966,0.8996,0.9488,0.3768,
Amt,-11.501968286967198,4.46903886536133e-21,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2.567663794403274,0.09986635206828154,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",0.0846,0.0879,0.1357,0.1849,0.219,0.3302,0.4143,
An,-12.349497755137985,5.868966297935544e-23,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-11.773614568177441,1.0753496894787613e-21,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.5849,0.6745,0.6207,0.724,0.7887,0.8015,0.8466,
Andrew,-6.9828773713513135,8.106949497849577e-10,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-7.1433595882397345,3.2803323096411185e-10,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,1.0
Anfang,-4.838955896338082,4.578343999727315e-05,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",-10.641765079144504,4.909294833567013e-19,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.4133,0.8111,0.3232,0.3028,0.1502,0.24,0.3192,
Angeklagter,-9.631952039275017,1.6034267409281912e-16,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2.363631528776917,0.15226526775377414,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",0.0472,0.0734,0.1251,0.186,0.3336,0.437,0.1607,1.0
Angriff,-6.16255666493643,7.115895833280107e-08,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-9.132528826840781,2.9952436492932018e-15,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.0,0.0001,0.0001,0.0002,0.0001,0.0004,0.0007,1.0
Angst,-10.879298406768221,1.3071615111470364e-19,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-3.1816127529127733,0.021073981636021755,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",0.4623,0.0512,0.1167,0.2137,0.333,0.3167,0.4124,
Anklage,-1.973125624205459,0.2984794416860385,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-2.723091033363636,0.07012703458317257,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",0.0549,0.0684,0.1624,0.2827,0.391,0.4161,0.6225,
