keyword_name,lowest_lag_after_diff_Wikipedia_grangerCauses_News
3G,3.0
Abgeordnete,5.0
Abramowitsch,7.0
Abstieg,5.0
Absturz,1.0
Achtung,1.0
Affenpocken,6.0
Afghanistan,4.0
Afrika,6.0
Ahrtal,3.0
Airport,7.0
Aiwanger,2.0
Alba,2.0
Alltag,6.0
Alpen,1.0
Als,1.0
Amt,1.0
Andrew,7.0
Anfang,1.0
Angeklagte,2.0
Angriffskrieg,1.0
Anklage,1.0
Anleger,1.0
Anschlag,1.0
April,3.0
Arbeit,5.0
Armee,7.0
Atomkraft,7.0
Auch,7.0
Aufklärung,1.0
Aufstieg,2.0
Auge,1.0
Augsburg,6.0
Ausgleich,4.0
Ausstellung,1.0
Australian,7.0
Australien,5.0
Autofahrer,5.0
Baerbock,2.0
Bank,1.0
Basketballer,2.0
Baumgart,2.0
Bayern,6.0
Becker,2.0
Behörde,3.0
Belarus,7.0
Benzin,7.0
Bericht,1.0
Beste,7.0
Besuch,1.0
Betrieb,4.0
Betrug,7.0
Betrüger,6.0
Bewohner,6.0
Bewährungsstrafe,5.0
Biden,3.0
Bielefeld,6.0
Bischof,7.0
Blick,2.0
Boateng,5.0
Bobic,5.0
Bord,2.0
Boss,6.0
Botschafter,7.0
Bouffier,2.0
Brady,6.0
Brand,5.0
Brandenburg,5.0
Brandstiftung,6.0
Braunschweig,2.0
Brief,7.0
Briten,4.0
Brüssel,4.0
Bund,1.0
Bundesliga,2.0
Bundesländer,1.0
Bundespräsident,1.0
Bundeswehr,6.0
Bus,5.0
Butscha,3.0
Börse,1.0
Bühne,7.0
Bürger,1.0
Bürgermeister,1.0
Camp,1.0
Charkiw,5.0
Charles,1.0
Chefin,2.0
China,5.0
Coach,3.0
Comeback,2.0
Corona-Pandemie,7.0
Corona-Test,7.0
Cottbus,6.0
Covid-19,2.0
Darmstadt,5.0
Daten,1.0
David,6.0
Day,2.0
Demo,6.0
Demokratie,4.0
Demonstranten,1.0
Depp,2.0
Derby,2.0
Deutschland,2.0
Diesel,1.0
Digitalisierung,6.0
Djokovic,5.0
Documenta,7.0
Donbass,5.0
Donnerstag,6.0
Drei,7.0
Dresden,2.0
Drosten,5.0
Druck,7.0
Dschungelcamp,6.0
Ehefrau,4.0
Ei,5.0
Einigung,4.0
Eintracht,2.0
Eis,5.0
Elon,2.0
Endlich,1.0
Energie,1.0
Energiekrise,4.0
Energiewende,1.0
Entwicklung,1.0
Ergebnis,3.0
Erzgebirge,1.0
Euro,6.0
Evakuierung,2.0
Ex,7.0
Exklusiv,5.0
Explosion,1.0
Facebook,7.0
Fahndung,5.0
Fahrer,5.0
Fahrzeuge,2.0
Familien,3.0
Fan,2.0
Fans,4.0
Fast,4.0
Fehler,3.0
Feier,4.0
Feiern,3.0
Feld,7.0
Feldmann,5.0
Festival,7.0
Festnahme,5.0
Feuer,3.0
Finnland,6.0
Flick,3.0
Flughafen,2.0
Fluss,2.0
Frank,6.0
Frankfurt,2.0
Frankreich,4.0
Freiheit,1.0
Freitag,2.0
French,6.0
Freundin,5.0
Frieden,1.0
Friedrich,2.0
Fußball-Bundesliga,2.0
Fußgänger,5.0
Fürth,2.0
G7,2.0
Ganz,1.0
Garmisch-Partenkirchen,6.0
Gastronomie,4.0
Gazprom,6.0
Geburtstag,7.0
Gefahr,6.0
Gefängnis,1.0
Gegen,1.0
Geiger,7.0
Geld,1.0
Geldautomat,2.0
Generation,6.0
Gericht,6.0
Gesellschaft,2.0
Gesetz,1.0
Gewinn,1.0
Gewitter,3.0
Gipfel,4.0
Gladbach,2.0
Glasner,3.0
Grüne,1.0
Grünen,2.0
Götze,2.0
Günther,1.0
Haaland,5.0
Haftbefehl,1.0
Halbfinale,2.0
Hamburg,2.0
Hamburger,4.0
Hamilton,7.0
Hammer,1.0
Hanau,2.0
Hand,6.0
Handel,7.0
Hans,2.0
Hauptstadt,5.0
Haushalt,1.0
Heard,1.0
Heidelberg,1.0
Heimat,1.0
Heiße,1.0
Herbst,2.0
Hessen,1.0
Hilfe,1.0
Hinteregger,7.0
Hitze,2.0
Hoeneß,2.0
Holland,5.0
Holstein,1.0
Hubschrauber,3.0
Hund,5.0
Hunger,2.0
Höchststand,4.0
Hölle,6.0
Hütter,2.0
Ihnen,3.0
Impfpflicht,3.0
Impfstoff,4.0
Impfung,4.0
Industrie,5.0
Inflation,2.0
Ingolstadt,7.0
Innenministerin,4.0
Inside,7.0
Internet,4.0
Invasion,3.0
Jahr,4.0
Jahren,1.0
James,4.0
Jan,3.0
Job,3.0
Johnson,5.0
Journalisten,1.0
Jubiläum,1.0
Jäger,7.0
Kaiserslautern,2.0
Kandidat,5.0
Kandidaten,1.0
Kanzler,5.0
Kardinal,2.0
Karlsruher,4.0
Karneval,2.0
Kassel,4.0
Katar,2.0
Katze,5.0
Katzen,1.0
Kein,6.0
Kerber,1.0
Kiew,1.0
Kilogramm,7.0
Kim,1.0
Kimmich,5.0
Kinder,6.0
Kino,1.0
Klassenerhalt,6.0
Klaus,5.0
Klingbeil,1.0
Klopp,2.0
Knapp,5.0
Knast,6.0
Kohfeldt,2.0
Kolumne,2.0
Konzept,7.0
Konzert,6.0
Kosten,1.0
Kovac,5.0
Kraft,6.0
Kramer,7.0
Krankheit,6.0
Krebs,3.0
Kreml,7.0
Kreuz,7.0
Krieg,7.0
Krise,7.0
Kritik,7.0
Kroos,5.0
Kusel,5.0
Kutschaty,4.0
Lagerhalle,4.0
Lambrecht,4.0
Landes,3.0
Landrat,1.0
Landratsamt,1.0
Landtag,4.0
Landtagswahl,2.0
Laster,6.0
Lawrow,4.0
League,1.0
Leben,3.0
Leclerc,2.0
Leiche,3.0
Leitl,2.0
Leverkusen,7.0
Lewandowski,6.0
Leyen,6.0
Liebe,7.0
Litauen,6.0
Liter,1.0
Liverpool,2.0
Lkw,2.0
Lkw-Fahrer,2.0
Lob,5.0
Luca-App,7.0
Länder,1.0
Macht,2.0
Macron,2.0
Madrid,5.0
Magath,1.0
Mané,7.0
Marihuana,6.0
Mariupol,6.0
Markt,4.0
Martin,6.0
Massaker,2.0
Mbappé,1.0
Medaille,7.0
Medien,7.0
Medwedew,2.0
Mehrheit,3.0
Mein,4.0
Melnyk,1.0
Menschen,4.0
Meppen,7.0
Merkel,4.0
Merz,2.0
Messe,1.0
Mexiko,7.0
Miami,5.0
Militär,1.0
Milliarden,1.0
Million,2.0
Millionen,5.0
Mindestlohn,2.0
Ministerin,7.0
Ministerium,1.0
Ministerpräsident,3.0
Miss,3.0
Mission,1.0
Mitarbeiter,1.0
Mittwoch,7.0
Modeste,3.0
Monaco,2.0
Montag,7.0
Moskau,1.0
Museum,7.0
Musk,2.0
Mädchen,5.0
Münchner,1.0
Nachfolger,4.0
Nachhaltigkeit,6.0
Nachrichten,5.0
Nacht,2.0
Nadal,2.0
Natur,1.0
Nawalny,1.0
Neuer,1.0
Neun,3.0
New,3.0
Nicht,2.0
Nichts,2.0
Niederlande,2.0
Niedersachsen,6.0
Noch,5.0
Nordosten,3.0
Novavax,1.0
Oberbürgermeister,2.0
Offensive,1.0
Oldenburg,4.0
Omikron,6.0
Open,4.0
Opposition,7.0
Osnabrück,1.0
Ostern,3.0
Osteuropa,5.0
Ostukraine,3.0
Paderborn,1.0
Pandemie,3.0
Panzer,6.0
Papa,4.0
Paralympics,4.0
Park,6.0
Partner,7.0
Pauli,1.0
Pause,2.0
Peking,1.0
Pfingsten,3.0
Pflege,6.0
Pilot,1.0
Pistole,7.0
Plus,3.0
Pläne,1.0
Pocher,2.0
Polen,3.0
Politik,5.0
Politiker,1.0
Polizei,5.0
Prinz,3.0
Probleme,6.0
Profi,1.0
Prognose,2.0
Projekt,1.0
Promille,7.0
Propaganda,1.0
Prozent,6.0
Prozess,1.0
Punkt,7.0
Putin,7.0
Quarantäne,3.0
Rache,1.0
Rangers,2.0
Rapper,4.0
Rathaus,2.0
Recht,2.0
Red,5.0
Regen,4.0
Rehlinger,2.0
Reichsbürger,2.0
Reif,6.0
Relegation,7.0
Remis,6.0
Rente,1.0
Reul,4.0
Rheinland-Pfalz,3.0
Richter,1.0
Roth,5.0
Rubel,1.0
Rund,6.0
Russen,7.0
Russland,4.0
Rückschlag,4.0
Rückzug,6.0
Saarland,2.0
Saison,5.0
Salihamidzic,7.0
Samstag,2.0
Sandhausen,2.0
Sanktionen,7.0
Sattelzug,6.0
Schalke,5.0
Schauspieler,2.0
Schießerei,6.0
Schleswig-Holstein,5.0
Schloss,1.0
Schnee,7.0
Schon,1.0
Schröder,2.0
Schuld,4.0
Schule,6.0
Schweden,4.0
Schwesig,4.0
Schäfer,1.0
Schülerin,1.0
Sechs,5.0
Selenskyj,4.0
Senat,6.0
Sevilla,2.0
Sex,4.0
Shanghai,7.0
Sicherheit,2.0
Sieben-Tage-Inzidenz,3.0
Sieg,4.0
Sieger,2.0
Sommer,1.0
Sorge,2.0
Sorgen,6.0
Spiegel,1.0
Spielen,3.0
Spitze,1.0
Sport,1.0
Sprit,6.0
Sprung,5.0
Spuren,1.0
Staat,4.0
Stadtrat,7.0
Stand,1.0
Star,7.0
Start,4.0
Steinmeier,2.0
Stich,1.0
Stoltenberg,2.0
Stream,2.0
Strecke,2.0
Streich,1.0
Streifenwagen,6.0
Strom,1.0
Studie,2.0
Stunde,7.0
Sturm,2.0
Sturmflut,3.0
Sturmtief,3.0
Stürmer,2.0
Sylt,6.0
Symbol,1.0
Syrien,1.0
Südafrika,6.0
Süden,5.0
Südkorea,2.0
Süle,5.0
Tag,2.0
Talent,5.0
Taliban,1.0
Tatort,4.0
Teilnehmer,1.0
Tempo,2.0
Tesla,1.0
Test,2.0
Texas,4.0
Theater,2.0
Thioune,2.0
Thomas,4.0
Thüringer,2.0
Tisch,2.0
Top,6.0
Tor,6.0
Tour,1.0
Towers,3.0
Training,4.0
Trapp,2.0
Trikot,4.0
Trump,3.0
Truppen,7.0
Tränen,3.0
Tuchel,4.0
Tunnel,5.0
Twitter,2.0
Täter,2.0
Tötung,2.0
Ukraine,3.0
Ukraine-Konflikt,7.0
Ukraine-Krieg,5.0
Ukraine-Krise,7.0
Ukrainekrieg,3.0
Ukrainer,6.0
Um,3.0
Umgang,1.0
Umsatz,1.0
Unfall,5.0
Ungarn,1.0
Uni,3.0
United,2.0
Unser,6.0
Unternehmen,6.0
Unterricht,4.0
Untersuchungsausschuss,2.0
Untersuchungshaft,5.0
Urlaub,6.0
Urlauber,6.0
Urteil,1.0
Verbot,5.0
Verbraucher,1.0
Verdacht,4.0
Verdi,1.0
Verein,1.0
Verfahren,7.0
Verfassungsschutz,5.0
Vergewaltigung,5.0
Verkehr,1.0
Verletzte,1.0
Verletzter,2.0
Versorgung,1.0
Verstappen,2.0
Vertrag,5.0
Vier,7.0
Viertel,2.0
Viktoria,3.0
Villarreal,2.0
Virus,3.0
Vollsperrung,1.0
Vorbereitung,1.0
Vorbild,7.0
Vorschlag,1.0
Vorwurf,7.0
Völler,7.0
Waffe,3.0
Wagen,5.0
Wahlkampf,4.0
Waldbrand,6.0
Waldhof,3.0
Walijewa,4.0
Wann,1.0
Warnung,2.0
Wasser,7.0
Wasserstoff,2.0
Wege,6.0
Welcher,1.0
Weltkrieg,1.0
Westen,3.0
Wetterdienst,4.0
Will,3.0
Wind,7.0
Windkraft,7.0
Winter,5.0
Winterspiele,7.0
Wirtschaft,2.0
Wladimir,7.0
Wochenende,7.0
Woelki,2.0
Wohnhaus,7.0
Wolf,2.0
Wut,4.0
Wähler,2.0
Wüst,2.0
Yeliz,2.0
Ylenia,7.0
York,3.0
Z,2.0
Zahl,1.0
Zehn,7.0
Zeit,2.0
Zeitung,5.0
Zerstörung,5.0
Zeuge,1.0
Zeugen,6.0
Zeynep,7.0
Zoll,1.0
Zu,7.0
Zugunglück,2.0
Zuhause,1.0
Zur,2.0
Zuschauer,1.0
Ärger,2.0
Österreich,4.0
