keyword_name,lowest_lag_after_diff_Wikipedia_grangerCauses_Google
3G,7.0
A1,5.0
A3,6.0
A8,4.0
Aber,5.0
Abramowitsch,1.0
Abschluss,4.0
Abstieg,1.0
Acht,3.0
Achtelfinale,3.0
Adler,3.0
Affenpocken,1.0
Afghanistan,1.0
Afrika,3.0
Ahrtal,7.0
Aktien,7.0
Aktion,7.0
Alarm,5.0
Alexander,3.0
Alles,3.0
Alpen,5.0
Alte,7.0
Alter,4.0
Amazon,3.0
Amt,6.0
Analyse,3.0
Angebot,3.0
Angeklagte,5.0
Angriff,5.0
Angriffskrieg,4.0
Anhänger,3.0
Anklage,4.0
Anna,3.0
App,5.0
Appell,5.0
April,1.0
Arzt,5.0
Atomkraft,4.0
Auch,3.0
Audi,3.0
Auf,3.0
Aufklärung,5.0
Aufstieg,5.0
Auge,5.0
Augsburg,6.0
August,1.0
Ausbildung,3.0
Ausfall,7.0
Ausland,5.0
Ausstellung,3.0
Australien,3.0
Auto,3.0
Außenminister,7.0
Außenministerin,1.0
Baby,3.0
Bach,3.0
Bad,3.0
Baden-Württemberg,3.0
Baerbock,1.0
Bahnhof,7.0
Bahnverkehr,2.0
Balkon,3.0
Basketballer,3.0
Bauer,1.0
Baum,3.0
Bayer,6.0
Becker,5.0
Beginn,3.0
Belarus,7.0
Belgien,5.0
Benzin,5.0
Berg,3.0
Bericht,5.0
Betrieb,5.0
Betrug,5.0
Beute,7.0
Bewährung,5.0
Beziehung,3.0
Biden,5.0
Bielefeld,4.0
Bier,3.0
Bierhoff,5.0
Big,6.0
Biker,4.0
Bild,3.0
Bischof,3.0
Bitte,3.0
Boden,3.0
Bodensee,5.0
Bonn,3.0
Bord,3.0
Boss,3.0
Botschaft,7.0
Bouffier,5.0
Brady,4.0
Brand,3.0
Brandenburg,6.0
Brandstiftung,6.0
Brasilien,6.0
Braunschweig,4.0
Bremen,3.0
Bremer,7.0
Bremerhaven,3.0
Briten,7.0
Bronze,3.0
Bruder,5.0
Buch,7.0
Bull,6.0
Bundesliga,1.0
Bundespolizei,6.0
Bundespräsident,6.0
Bundesrat,5.0
Bundesregierung,5.0
Bundestag,4.0
Bundeswehr,3.0
Bus,4.0
Busse,7.0
Butscha,6.0
Börse,7.0
Bündnis,5.0
Bürger,4.0
Büro,1.0
Camp,6.0
Chance,3.0
Charkiw,6.0
Chef,3.0
Chemie,5.0
Chemnitz,5.0
Club,3.0
Coach,3.0
Corona-Pandemie,2.0
Corona-Test,5.0
Cottbus,5.0
Covid,7.0
Covid-19,5.0
Dach,3.0
Daniel,3.0
Dank,3.0
Daten,3.0
Dealer,4.0
Debüt,3.0
Demokratie,3.0
Demonstration,3.0
Demos,3.0
Depp,1.0
Deutsche,3.0
Deutschland,7.0
Dienst,3.0
Diesel,7.0
Digitalisierung,4.0
Dinge,7.0
Diskussion,1.0
Djokovic,3.0
Documenta,4.0
Donnerstag,7.0
Dorf,3.0
Dortmund,6.0
Draisaitl,3.0
Drama,3.0
Drei,4.0
Dresden,4.0
Druck,6.0
Dschungelcamp,1.0
Duisburg,3.0
Dänemark,5.0
Düsseldorf,4.0
Ehefrau,1.0
Ei,3.0
Eier,2.0
Eine,7.0
Einer,3.0
Einfach,5.0
Einsatz,5.0
Eintracht,2.0
Eis,3.0
Eklat,2.0
Elbe,7.0
Elon,1.0
Eltern,3.0
Energie,5.0
Energiekosten,7.0
Energiekrise,3.0
Energieversorgung,6.0
Energiewende,6.0
Entlastung,1.0
Entscheidung,7.0
Entwarnung,1.0
Entwicklung,5.0
Erde,3.0
Erfolg,5.0
Ergebnis,3.0
Ernst,5.0
Erzgebirge,6.0
Eskalation,7.0
Essen,3.0
Eurojackpot,6.0
Ex,6.0
Explosion,3.0
Fahrzeuge,5.0
Familie,3.0
Fan,3.0
Fans,7.0
Fast,3.0
Fehler,5.0
Feiern,5.0
Feld,3.0
Feldmann,2.0
Felix,7.0
Fest,4.0
Festival,2.0
Festnahme,7.0
Feuer,5.0
Film,3.0
Finnland,1.0
Flensburg,3.0
Florida,4.0
Flug,3.0
Flughafen,3.0
Flugzeug,3.0
Fluss,3.0
Fokus,5.0
Folge,3.0
Formel,1.0
Fortuna,3.0
Foto,3.0
Franken,5.0
Frau,3.0
Freie,3.0
Freiheit,3.0
Freitag,7.0
French,7.0
Freund,3.0
Freundin,3.0
Frieden,1.0
Friedrich,3.0
Front,3.0
Frühling,7.0
Future,3.0
Fußball,1.0
Fußball-Bundesliga,1.0
Führung,6.0
Fünf,3.0
G7,2.0
Ganz,3.0
Garmisch-Partenkirchen,1.0
Garten,2.0
Gas,6.0
Gast,4.0
Gazprom,5.0
Geburt,5.0
Geburtstag,3.0
Gebäude,6.0
Gefängnis,5.0
Gehalt,4.0
Geld,5.0
Geldautomat,3.0
Geldstrafe,7.0
Gemeinde,6.0
Generation,4.0
Gericht,3.0
Geschichte,3.0
Geschäft,3.0
Gesellschaft,5.0
Gesetz,7.0
Gesicht,3.0
Gesundheitsminister,4.0
Gewerkschaft,6.0
Gewinn,7.0
Gewitter,3.0
Gipfel,1.0
Glasgow,3.0
Glasner,1.0
Glück,3.0
Gold,3.0
Grad,5.0
Großbritannien,5.0
Grundschule,3.0
Gruppe,5.0
Gut,3.0
Gutachten,5.0
Gäste,5.0
Göttingen,3.0
Haaland,1.0
Haare,5.0
Habeck,6.0
Hafen,2.0
Haft,3.0
Haftbefehl,3.0
Halle,3.0
Haltung,3.0
Hamburg,3.0
Hamburger,7.0
Hamilton,3.0
Hammer,3.0
Hand,3.0
Handel,7.0
Handwerk,4.0
Handy,3.0
Hannover,3.0
Hans,5.0
Harry,6.0
Hass,3.0
Hauptbahnhof,6.0
Hauptstadt,3.0
Haus,3.0
Heard,1.0
Heidelberg,2.0
Heil,3.0
Heimat,5.0
Herbst,4.0
Herr,3.0
Herrmann,4.0
Herzen,3.0
Hilfe,3.0
Hinteregger,4.0
Hochzeit,3.0
Hoeneß,1.0
Hohe,7.0
Hollywood,3.0
Hotel,3.0
Hund,3.0
Hunger,3.0
Höchststand,1.0
Hölle,1.0
Hütter,1.0
Idee,3.0
Ihre,3.0
Immer,6.0
Impfpflicht,2.0
Impfstoff,3.0
Impfung,3.0
In,3.0
Indien,7.0
Industrie,7.0
Ingolstadt,3.0
Innenministerin,2.0
Innenstadt,4.0
Insel,5.0
Inside,7.0
Instagram,3.0
Internet,5.0
Invasion,2.0
Investor,3.0
Island,3.0
Israel,3.0
Ist,4.0
Italien,1.0
Jahr,5.0
Jan,5.0
Jena,3.0
Job,3.0
Joe,5.0
Johnson,3.0
Jugend,3.0
Jugendlicher,7.0
Julia,3.0
Julian,2.0
Junge,7.0
Jäger,3.0
Kaiserslautern,4.0
Kanada,2.0
Kandidaten,4.0
Kapitän,5.0
Karl,3.0
Karlsruhe,3.0
Karneval,7.0
Karriere,3.0
Kassel,3.0
Katar,6.0
Katze,3.0
Katzen,3.0
Kaum,7.0
Keller,3.0
Kerber,2.0
Kiel,3.0
Kiew,5.0
Kilogramm,7.0
Kim,7.0
Kind,3.0
Kinder,3.0
Kino,3.0
Kirche,3.0
Klimawandel,5.0
Klitschko,1.0
Klopp,2.0
Koch,5.0
Kolumne,3.0
Konsequenzen,4.0
Konzept,5.0
Kosten,3.0
Kovac,4.0
Kraft,5.0
Krankheit,3.0
Krefeld,4.0
Kreml,2.0
Kriegsverbrechen,3.0
Kripo,7.0
Krise,7.0
Kritik,3.0
Kroos,1.0
Kruse,1.0
Kultur,6.0
Kunden,6.0
Kunst,6.0
Kusel,2.0
Kutschaty,5.0
Köln,5.0
König,4.0
Körper,7.0
Künstler,3.0
Küste,5.0
Lagerhalle,6.0
Lambrecht,4.0
Landrat,5.0
Landratsamt,5.0
Landtag,3.0
Landtagswahl,2.0
Lauterbach,7.0
Lautern,5.0
League,2.0
Leben,5.0
Lebensgefahr,1.0
Lebensmittel,3.0
Leclerc,2.0
Leiche,6.0
Leyen,6.0
Licht,5.0
Liebe,3.0
Litauen,3.0
Liter,4.0
Live,3.0
Lkw-Fahrer,7.0
Lob,3.0
Loch,3.0
Lockdown,5.0
London,3.0
Los,3.0
Love,3.0
Luca-App,4.0
Ludwigsburg,3.0
Luft,3.0
Lufthansa,3.0
Lust,3.0
Lösung,6.0
Löwen,5.0
Lübeck,3.0
Macht,3.0
Macron,7.0
Magath,2.0
Maier,3.0
Mama,3.0
Man,3.0
Manchester,6.0
Mann,3.0
Mannheim,3.0
Mané,1.0
Marihuana,3.0
Mariupol,7.0
Markt,3.0
Markus,3.0
Martin,7.0
Maske,4.0
Maskenpflicht,4.0
Massaker,1.0
Max,5.0
Mbappé,4.0
Mecklenburg-Vorpommern,4.0
Medaille,7.0
Medien,5.0
Medwedew,4.0
Meer,5.0
Mehrfamilienhaus,6.0
Mehrheit,2.0
Meine,3.0
Meister,5.0
Mensch,3.0
Mercedes,4.0
Merkel,4.0
Merz,2.0
Messi,3.0
Metall,6.0
Meter,5.0
Mexiko,3.0
Miami,5.0
Michel,6.0
Michelle,7.0
Mike,3.0
Million,3.0
Mindestlohn,1.0
Ministerium,4.0
Minuten,3.0
Mio,3.0
Miss,3.0
Mitarbeiter,1.0
Mittwoch,7.0
Model,4.0
Moment,3.0
Monaco,1.0
Monat,5.0
Montag,7.0
Moskau,7.0
Motiv,5.0
Motorrad,3.0
Motorradfahrer,1.0
Museum,3.0
