keyword_name,lowest_lag_after_diff_News_grangerCauses_Wikipedia
3G,7.0
A3,7.0
Abramowitsch,7.0
Abschluss,1.0
Absturz,2.0
Acht,3.0
Achtung,2.0
Affenpocken,4.0
Afghanistan,5.0
Aiwanger,1.0
Aktien,4.0
Alte,5.0
Altkanzler,3.0
Andrew,1.0
Angebot,4.0
Anklage,6.0
Anleger,2.0
Anna,3.0
Antisemitismus,1.0
Appell,1.0
Astronaut,7.0
Auch,7.0
Aufstieg,1.0
Augsburg,6.0
Ausstellung,2.0
Australien,3.0
Autofahrer,1.0
Außenministerin,4.0
Baerbock,1.0
Bahn,2.0
Bahnverkehr,1.0
Balkon,3.0
Bank,2.0
Barcelona,2.0
Barça,5.0
Baum,3.0
Baumgart,2.0
Bayern,3.0
Becker,2.0
Bedrohung,7.0
Belarus,4.0
Benedikt,4.0
Benzin,1.0
Berg,7.0
Berlinale,7.0
Beste,6.0
Besuch,4.0
Biden,1.0
Bier,3.0
Bierhoff,7.0
Big,7.0
Bild,6.0
Blick,1.0
Boateng,5.0
Boris,6.0
Borussia,1.0
Bouffier,1.0
Brady,2.0
Brand,4.0
Brandenburg,7.0
Briten,3.0
Buch,6.0
Bund,2.0
Bundesliga,1.0
Bundespolizei,3.0
Bundesregierung,7.0
Bundestag,2.0
Bus,6.0
Busse,1.0
Butscha,1.0
Bäume,3.0
Börse,3.0
Bürger,3.0
Camp,1.0
Chance,4.0
Charkiw,2.0
Chefin,1.0
Chemie,6.0
Coach,3.0
Comeback,2.0
Corona-Test,4.0
Coronapandemie,6.0
Covid-19,1.0
Dance,2.0
Dank,6.0
Darmstadt,3.0
Daten,3.0
David,4.0
Davies,1.0
Dealer,6.0
Demonstranten,3.0
Demonstration,5.0
Depp,1.0
Derby,2.0
Deutschland,7.0
Dieb,2.0
Diesel,2.0
Dinge,2.0
Diskussion,1.0
Djokovic,7.0
Documenta,7.0
Donbass,3.0
Donnerstag,1.0
Dortmund,4.0
Drei,3.0
Drosten,5.0
Druck,4.0
