date,Occurence_in_News,Occurence_in_Google,Occurence_in_Google_normalized
2021-11-07,0,35,0.35
2021-11-08,2,46,0.46
2021-11-09,1,44,0.44
2021-11-10,0,37,0.37
2021-11-11,0,57,0.57
2021-11-12,0,69,0.69
2021-11-13,0,44,0.44
2021-11-14,2,43,0.43
2021-11-15,1,57,0.57
2021-11-16,8,75,0.75
2021-11-17,2,69,0.69
2021-11-18,2,66,0.66
2021-11-19,2,72,0.72
2021-11-20,0,52,0.52
2021-11-21,0,42,0.42
2021-11-22,7,46,0.46
2021-11-23,4,72,0.72
2021-11-24,0,72,0.72
2021-11-25,1,53,0.53
2021-11-26,0,46,0.46
2021-11-27,2,43,0.43
2021-11-28,0,37,0.37
2021-11-29,0,51,0.51
2021-11-30,0,53,0.53
2021-12-01,4,58,0.58
2021-12-02,1,75,0.75
2021-12-03,1,100,1.0
2021-12-04,1,86,0.86
2021-12-05,0,59,0.59
2021-12-06,0,65,0.65
2021-12-07,0,50,0.5
2021-12-08,0,48,0.48
2021-12-09,1,45,0.45
2021-12-10,1,53,0.53
2021-12-11,1,48,0.48
2021-12-12,0,32,0.32
2021-12-13,1,42,0.42
2021-12-14,0,39,0.39
2021-12-15,0,37,0.37
2021-12-16,2,42,0.42
2021-12-17,0,48,0.48
2021-12-18,2,44,0.44
2021-12-19,1,32,0.32
2021-12-20,1,29,0.29
2021-12-21,0,29,0.29
2021-12-22,1,22,0.22
2021-12-23,0,26,0.26
2021-12-24,0,18,0.18
2021-12-25,0,21,0.21
2021-12-26,0,28,0.28
2021-12-27,1,42,0.42
2021-12-28,0,44,0.44
2021-12-29,1,37,0.37
2021-12-30,0,34,0.34
2021-12-31,0,20,0.2
2022-01-01,0,20,0.2
2022-01-02,0,26,0.26
2022-01-03,0,29,0.29
2022-01-04,1,31,0.31
2022-01-05,0,31,0.31
2022-01-06,1,36,0.36
2022-01-07,3,56,0.56
2022-01-08,0,55,0.55
2022-01-09,0,32,0.32
2022-01-10,1,37,0.37
2022-01-11,7,41,0.41
2022-01-12,6,36,0.36
2022-01-13,1,30,0.3
2022-01-14,2,38,0.38
2022-01-15,0,33,0.33
2022-01-16,0,24,0.24
2022-01-17,5,27,0.27
2022-01-18,4,31,0.31
2022-01-19,3,38,0.38
2022-01-20,2,32,0.32
2022-01-21,0,34,0.34
2022-01-22,0,32,0.32
2022-01-23,1,22,0.22
2022-01-24,7,25,0.25
2022-01-25,2,25,0.25
2022-01-26,4,26,0.26
2022-01-27,0,23,0.23
2022-01-28,4,26,0.26
2022-01-29,0,27,0.27
2022-01-30,0,19,0.19
2022-01-31,0,20,0.2
2022-02-01,1,24,0.24
2022-02-02,0,26,0.26
2022-02-03,0,22,0.22
2022-02-04,1,20,0.2
2022-02-05,0,24,0.24
