Titel,Overline,Date_Info,Kategorie,URL,detailed_informations,bild_plus,Zugriff_Datum,News_page
Star-Komponist Vangelis gestorben,Seine Musik kennt jeder Box-Fan,2022-05-19 20:03:06,Leute,/unterhaltung/leute/leute/star-komponist-vangelis-gestorben-seine-musik-kennt-jeder-box-fan-80145118.bild.html,"
                                Der griechische Komponist Vangelis ist im Alter von 79 Jahren gestorben.",False,19052022,Bild
Kabelbrand in Kabine!  WM-Arena geräumt,Vor Deutschland-Spiel in Helsinki,2022-05-19 18:01:42,US-Sport,/sport/mehr-sport/eishockey/eishockey-wm-in-helsinki-ohne-stuetzle-heute-gegen-die-daenen-80139704.bild.html,"
                                Feueralarm bei der Eishockey-WM. Kurz vor dem Deutschland-Spiel wurde die Arena geräumt.",False,19052022,Bild
Braunschweig muss Mammut-Aufgabe lösen,"Kaum Zeit, viel Arbeit",2022-05-19 16:42:19,2. Bundesliga,/sport/fussball/fussball/eintracht-braunschweig-kaum-zeit-aber-viel-arbeit-80141786.bild.html,"
                                Mitte Juni startet Eintracht Braunschweig in die Vorbereitung, der Kader steht noch nicht.",False,19052022,Bild
Putin lässt tote Soldaten in der Ukraine verrotten,Kreml holt sie nicht ab,2022-05-19 15:25:25,Politik Ausland,/politik/ausland/politik-ausland/kreml-holt-sie-nicht-zurueck-in-die-heimat-putin-laesst-tote-soldaten-in-der-ukr-80137052.bild.html,"
                                Putin lässt gefallene russische Soldaten nicht zurück nach Russland holen.",False,19052022,Bild
Polizei-Einsatz auf Klo vom Eintracht-Block,Wasser-Chaos!,2022-05-19 13:07:31,Fussball,/sport/fussball/europa-league/europa-league-finale-alle-kioske-leer-eintracht-fans-sitzen-auf-dem-trockenen-80134638.bild.html,"
                                Alle Getränkestände in der Kurve waren vorm Spiel ausverkauft. Wie sich die Fans behalfen.",False,19052022,Bild
Liebes-News!,Pietro und seine Ex,2022-05-19 10:39:59,Leute,/unterhaltung/leute/leute/pietro-lombardi-und-seine-schoene-ex-liebes-news-80136012.bild.html,"
                                Star-Lieben sind oft turbulent. Doch bei Pietro und Laura verliert jeder den Überblick!",False,19052022,Bild
French Open 2022: DAS müssen Sie wissen,"Termine, Teilnehmer, Spielplan",2022-05-19 08:59:27,Sport-Mix,/sport/mehr-sport/tennis/french-open-2022-spielplan-teilnehmer-tv-fakten-das-muessen-sie-wissen-79884704.bild.html,"
                                Die Grand-Slam-Reise geht weiter. Alle Infos zu den French Open 2022 gibt's hier.",False,19052022,Bild
Köln plant USA-Reise,Japan-Strategie?,2022-05-19 21:00:27,Bundesliga,/sport/fussball/fussball/1-fc-koeln-japan-strategie-koeln-plant-usa-reise-80140940.bild.html,"
                                Die erste große Tour der Kölner soll nach Amerika gehen – und nicht wie angedacht nach Japan!",False,19052022,Bild
Frankfurt einig mit deutschem Torjäger,Neuer Spieler für SGE,2022-05-19 20:02:37,Bundesliga,/bild-plus/sport/fussball/fussball/eintracht-frankfurt-einigung-mit-stuermer-euro-helden-basteln-schon-am-neuen-kad-80144258.bild.html,"
                                Die Europa League in der Tasche, die Champions League im Blick – und einen Stürmer im Sinn.",True,19052022,Bild
Neues Virus bedroht Bienen weltweit,Insekten verkümmern,2022-05-19 17:58:32,Sachsen-Anhalt,/bild-plus/regional/sachsen-anhalt/sachsen-anhalt-news/bienensterben-neuer-killer-virus-bedroht-bienen-weltweit-80138572.bild.html,"
                                Forscher der Uni Halle warnen vor einem gefährlichen Virus, der Bienen weltweit bedroht.",True,19052022,Bild
