Titel,URL,Date_Info,News_page,Kategorie,author
Munitionsaffäre: Anklage gegen früheren KSK-Kommandeur Kreitmayr,https://www.spiegel.de/politik/deutschland/bundeswehr-anklage-gegen-frueheren-ksk-kommandeur-kreitmayr-a-085ceb73-5b5f-45e8-a264-62963a96ec8f,04022022_12:41 ,Spiegel,politik,
»Aufstand der letzten Generation«: Klimaaktivisten blockieren Berliner Autobahn,https://www.spiegel.de/panorama/berlin-klimaaktivisten-blockieren-autobahn-a-91894f88-7c70-40a6-af3b-a4cc4a2ccd4e,04022022_12:31 ,Spiegel,panorama,
Für Davis-Cup-Team und Jugendmannschaften: Ungarns Tennis-Teamarzt soll fiktive Coronatests ausgestellt haben,https://www.spiegel.de/sport/tennis/tennis-ungarns-teamarzt-soll-fiktive-coronatests-ausgestellt-haben-a-a9cc07b6-2cfc-4ddc-a2dc-2e09584eaa52,04022022_12:29 ,Spiegel,sport,
Premier unter Druck: Fünfte Johnson-Beraterin kündigt in Downing Street,https://www.spiegel.de/ausland/boris-johnson-fuenfte-beraterin-kuendigt-laut-medienberichten-a-2b7e0886-d0dd-4a63-9591-2a9385e09688,04022022_12:17 ,Spiegel,ausland,
Rechtsextreme Partei: Nachkomme des letzten Königs will Freien Sachsen Verwendung eines Wappens untersagen,https://www.spiegel.de/panorama/gesellschaft/freie-sachsen-nachkomme-des-letzten-koenigs-will-verwendung-eines-wappens-untersagen-a-d0a684ca-45b1-469e-bd60-7024acd449d9,04022022_12:16 ,Spiegel,panorama,Von Steffen Winter
"Meteorologe Schwanke über Flut im Ahrtal: »Es wäre genug Zeit gewesen, die Leute da rauszuholen«",https://www.spiegel.de/panorama/meteorologe-karsten-schwanke-ueber-flut-im-ahrtal-es-waere-genug-zeit-gewesen-die-leute-da-rauszuholen-a-1d50db69-8636-44d5-942f-d6a392d1ce25,04022022_12:11 ,Spiegel,panorama,
Früherer Ministerpräsident: Nato-Generalsekretär Stoltenberg wird norwegischer Zentralbank-Chef,https://www.spiegel.de/wirtschaft/nato-generalsekretaer-stoltenberg-wird-norwegischer-zentralbank-chef-a-7f02d86a-a53e-48e7-a576-f3a7340fa066,04022022_12:02 ,Spiegel,wirtschaft,
»Sex and the City«-Neuauflage: Sarah Jessica Parker kann gut auf Kim Cattrall verzichten,https://www.spiegel.de/kultur/tv/sex-and-the-city-reboot-and-just-like-that-sarah-jessica-parker-kann-auf-kim-cattrall-verzichten-a-8e90354a-61eb-48ff-8e76-48e6f5401642,04022022_12:02 ,Spiegel,kultur,
Winterspiele in Peking: Brauchen wir Olympia überhaupt noch?,https://www.spiegel.de/sport/olympia/kommentar-zu-olympischen-winterspielen-brauchen-wir-olympia-ueberhaupt-noch-a-6f26fc97-7627-4c75-8627-b3fd539252eb,04022022_11:51 ,Spiegel,sport,
Russlands Truppenaufmarsch an der Ukraine: Scholz reist Mitte Februar zu Putin,https://www.spiegel.de/politik/deutschland/ukraine-und-russland-olaf-scholz-reist-zu-wladimir-putin-a-42869a8f-dfae-4d41-a171-f4bdc1486103,04022022_11:48 ,Spiegel,politik,
Festung China: Das Olympia-Theater und der gefährliche Hochmut einer Supermacht,https://www.spiegel.de/ausland/olympische-winterspiele-in-peking-wie-sich-die-festung-china-vom-rest-der-welt-abschottet-a-69d93931-48e7-40d8-9488-70c9c8d6a707,04022022_11:47 ,Spiegel,ausland,"Die SPIEGEL-Titelgeschichte von Georg Fahrion, Peking"
Deutsche Welle in Russland: Kulturstaatsministerin Roth verurteilt Sendeverbot als »aggressiven Akt«,https://www.spiegel.de/kultur/claudia-roth-kulturstaatsministerin-verurteilt-sendeverbot-fuer-deutsche-welle-in-russland-als-aggressiven-akt-a-7b4282da-bcc2-4c4d-8ed1-b429de2618b5,04022022_11:35 ,Spiegel,kultur,
Olympia-Gastgeber China: Das Milliardenvolk hofft auf viele Medaillen,https://www.spiegel.de/sport/olympia/olympia-gastgeber-china-das-milliardenvolk-hofft-auf-viele-medaillen-a-014cd0c9-8935-4081-a9bc-68ebe6303ad5,04022022_11:25 ,Spiegel,sport,Von Peter Ahrens
Fußballquiz: Wer hat die meisten Elfmeter fürs DFB-Team verwandelt?,https://www.spiegel.de/sport/fussballquiz-wer-hat-die-meisten-elfmeter-fuers-dfb-team-verwandelt-a-66151a77-7598-445f-8424-e843b908c315,04022022_11:19 ,Spiegel,sport,Von Marco Fuchs
Der 14. Tag im Dschungelcamp: Tiere lügen bekanntlich ja nie,https://www.spiegel.de/kultur/tv/dschungelcamp-auf-rtl-tag-14-tiere-luegen-bekanntlich-ja-nie-a-bc7cc713-0e81-440c-8e8f-bacef7e0cee7,04022022_11:10 ,Spiegel,kultur,Von Anja Rützel
Coaching »Gelassen im Homeoffice«: Woche eins: Und jetzt ist Pause!,https://www.spiegel.de/psychologie/coaching-gelassen-im-homeoffice-woche-eins-und-jetzt-ist-pause-a-ad6ab277-efd4-4314-b4b6-0a7a7ef21b3a,04022022_10:47 ,Spiegel,psychologie,Von Anne Otto
+++ Corona-News +++: KBV-Chef fordert »Freedom Plan« zu Coronamaßnahmen,https://www.spiegel.de/wissenschaft/medizin/corona-news-am-freitag-krebshilfe-erwartet-ab-ende-des-jahres-erhoehte-sterblichkeit-a-f433558f-66b5-4c97-b780-b3b6092c3776,04022022_10:45 ,Spiegel,wissenschaft,
Steigende Energiepreise: EZB-Experten erwarten höhere Inflation,https://www.spiegel.de/wirtschaft/inflation-ezb-experten-erwarten-hoehere-inflation-a-7ff324d9-bcab-4b6d-ad59-cac11332be4d,04022022_10:43 ,Spiegel,wirtschaft,
Österreichs Immobilientycoon und seine wundersame Geldvermehrung: Das Milliarden-Monopoly des René Benko,https://www.spiegel.de/wirtschaft/rene-benko-oesterreichs-immobilientycoon-und-seine-wundersame-geldvermehrung-a-a62ade64-bd1f-4df6-83f5-99ce7d7571d0,04022022_10:35 ,Spiegel,wirtschaft,
Etwa 15 Minuten lang verschüttet: Deutsche Skifahrerin aus Lawine in Tirol befreit,https://www.spiegel.de/panorama/tirol-deutsche-skifahrerin-aus-lawine-befreit-etwa-15-minuten-lang-verschuettet-a-81e7e676-da8f-4e75-8f5c-b0980ce164ed,04022022_10:32 ,Spiegel,panorama,
»Unzulässig beeinflusst«: Amazon muss Gewerkschaftswahl in USA wiederholen,https://www.spiegel.de/wirtschaft/unternehmen/amazon-muss-gewerkschafts-wahl-in-usa-wiederholen-a-18625ad2-ea35-4469-b7f8-65de28ce9b41,04022022_10:25 ,Spiegel,wirtschaft,
Olympische Spiele in Peking: »Ich möchte auf keinen Fall in Quarantäne«,https://www.spiegel.de/sport/olympia/olympia-in-peking-ich-moechte-auf-keinen-fall-in-quarantaene-video-a-e4018afc-a755-489f-b53c-77a1bfcfd7fa,04022022_10:22 ,Spiegel,sport,Ein Video von Eckhard Klein
70 Jahre Königin: Royal Mail würdigt Queen mit acht Briefmarken,https://www.spiegel.de/panorama/leute/queen-elizabeth-ii-70-jahre-koenigin-royal-mail-mit-acht-briefmarken-a-777c9ebe-ace0-4b2c-9ec1-eab3749d77ba,04022022_10:06 ,Spiegel,panorama,
Putin bei Xi: Russland und China fordern gemeinsam Stopp der Nato-Erweiterung,https://www.spiegel.de/ausland/wladimir-putin-lobt-beispiellos-gute-beziehungen-zu-china-und-verspricht-gas-a-295401e8-b0b5-40c3-bbaa-1d51fe772055,04022022_10:00 ,Spiegel,ausland,
Militärjunta in Myanmar: Weitere Anklage gegen Aung San Suu Kyi,https://www.spiegel.de/ausland/myanmar-weitere-anklage-gegen-abgesetzte-regierungschefin-aung-san-suu-kyi-a-380d229a-9cad-4883-801e-31dedfaa6b29,04022022_09:47 ,Spiegel,ausland,
Im Fall eines russischen Einmarschs in die Ukraine: Von der Leyen droht Moskau mit harten Sanktionen,https://www.spiegel.de/ausland/ukraine-ursula-von-der-leyen-droht-russland-mit-harten-sanktionen-a-7ef51bc6-894a-4294-8f5a-70ac514d52ff,04022022_09:41 ,Spiegel,ausland,
Deutsche Bahn: Stuttgart 21 wird noch mal eine Milliarde Euro teurer,https://www.spiegel.de/wirtschaft/soziales/stuttgart-21-wird-noch-mal-eine-milliarde-euro-teurer-a-f79dec90-3714-4e0c-a23e-e7b6c38cd2d6,04022022_09:33 ,Spiegel,wirtschaft,Von Christian Reiermann und Gerald Traufetter
