Titel,URL,Date_Info,News_page
Tennis in Dubai: Djoković verliert Spiel und die Weltranglistenspitze,https://www.spiegel.de/sport/tennis/novak-djokovic-verliert-spiel-und-die-weltranglistenspitze-a-e5c7f4c5-c06f-41b8-b291-6b538f133e34,24022022_19:10 ,Spiegel
"Neue britische Sanktionen gegen Russland: Flugverbot für Aeroflot, 100 russische Konten eingefroren",https://www.spiegel.de/wirtschaft/soziales/russland-neue-sanktionen-in-grossbritannien-a-d47206ef-23f3-4594-a579-bdd1349e5057,24022022_19:04 ,Spiegel
Selenskyj wendet sich an den Westen: »Wir hören den Klang eines neuen Eisernen Vorhangs«,https://www.spiegel.de/ausland/ukraine-wolodymyr-selenskyj-bittet-westen-erneut-um-hilfe-a-b6074c8a-e3f6-47b9-a340-772718af350c,24022022_18:55 ,Spiegel
Neue Omikron-Variante: Die BA.2-Welle kommt – wie gefährlich ist das für Deutschland?,https://www.spiegel.de/wissenschaft/medizin/coronavirus-die-omikron-ba-2-welle-kommt-wie-gefaehrlich-ist-das-fuer-deutschland-a-f56167b1-dc98-42e6-803a-9179203c53ec,24022022_18:53 ,Spiegel
Ex-Nato-General über Putins Strategie: »Man darf nicht in der Baracke abgeschlachtet werden«,https://www.spiegel.de/ausland/ex-nato-general-hans-lothar-domroese-ueber-ukraine-krieg-man-darf-nicht-in-der-baracke-abgeschlachtet-werden-a-1742a089-c3b3-49c1-aabb-4153538cfc17,24022022_18:44 ,Spiegel
Drei Tage vor russischer Invasion: Bundeskartellamt erlaubt Rosneft Kauf großer Anteile an deutscher Raffinerie,https://www.spiegel.de/wirtschaft/unternehmen/pck-in-schwedt-bundeskartellamt-erlaubt-rosneft-kauf-von-anteilen-an-deutscher-raffinerie-a-faf57644-8178-4793-a9d5-54bd38ba30b0,24022022_18:40 ,Spiegel
Nach Angaben der ukrainischen Regierung: Russische Truppen nehmen Tschernobyl ein,https://www.spiegel.de/ausland/tschernobyl-russische-truppen-uebernehmen-kontrolle-im-sperrgebiet-a-27177d33-90fc-4af5-958b-1b57f67a5b76,24022022_18:36 ,Spiegel
Kampf gegen Corona: EU-Behörde empfiehlt Kinder-Impfung mit Moderna,https://www.spiegel.de/wissenschaft/medizin/coronavirus-eu-behoerde-empfiehlt-kinder-impfung-mit-moderna-a-aeada384-234b-4ab7-bbc2-13a51291fbd1,24022022_18:35 ,Spiegel
"Reaktion auf russische Invasion: »Ich bringe meine Kinder weg und kehre zurück, wir werden kämpfen«",https://www.spiegel.de/ausland/ukraine-russland-kaempfe-nahe-kiew-a-d997737f-89d6-4045-aa02-a4fde7ad1be0,24022022_18:27 ,Spiegel
Auf Beschleunigungsstreifen gestoppt: Betrunkener fährt mit E-Roller auf Autobahn,https://www.spiegel.de/panorama/justiz/koeln-betrunkener-faehrt-mit-e-roller-auf-autobahn-a-7e11c011-a589-47d9-a945-3377973300dd,24022022_18:20 ,Spiegel
"Die Lage am Abend: Was will Putin als Nächstes – Chemnitz, Berlin?",https://www.spiegel.de/politik/deutschland/news-des-tages-russlands-angriff-auf-die-ukraine-gerhard-schroeder-karneval-a-d9079ab5-0924-4eab-afd9-42b20e3e8d31,24022022_18:17 ,Spiegel
Neue Analyse von Tutanchamun-Messer: Der Königsdolch aus dem All-Metall,https://www.spiegel.de/wissenschaft/mensch/altes-aegypten-der-koenigsdolch-aus-dem-all-a-05f7a850-ce44-4bf6-b2b6-22cfb5f895c5,24022022_18:16 ,Spiegel
Scholz zur Lage in der Ukraine: »Putin wird nicht gewinnen«,https://www.spiegel.de/politik/deutschland/ukraine-olaf-scholz-warnt-wladimir-putin-die-invasion-zu-stoppen-a-e3c316e3-7cf1-4fe1-908d-be8655830b4b,24022022_18:13 ,Spiegel
"Demonstration von Ukrainerinnen in Hamburg: »Schicken Sie uns die Waffen, schicken Sie uns die Truppen«",https://www.spiegel.de/panorama/gesellschaft/ukrainerinnen-in-hamburg-schicken-sie-uns-die-waffen-schicken-sie-uns-die-truppen-a-c9711e55-490c-4584-9691-f697d511507f,24022022_18:04 ,Spiegel
Energiekrise: USA treiben weltweite Freigabe von Ölreserven voran,https://www.spiegel.de/wirtschaft/soziales/usa-treiben-weltweite-freigabe-von-oelreserven-voran-a-56f0ac26-2bdb-48b2-a0ce-cb551cfdef8c,24022022_17:57 ,Spiegel
US-Senator Coons zur russischen Invasion: »Eine mächtige Armee dient einem von Wahn befallenen Mann«,https://www.spiegel.de/ausland/russland-ukraine-konflikt-us-senator-chris-coons-zur-russischen-invasion-a-f99c9f0a-422f-4ee1-bce7-a1ba365d465f,24022022_17:48 ,Spiegel
Russlands Angriff auf die Ukraine: Schock mit Ansage,https://www.spiegel.de/politik/deutschland/ukraine-krieg-und-deutsche-politik-schock-mit-ansage-a-3e95ce94-5d49-4bfe-8dfb-63b33cdce63e,24022022_17:45 ,Spiegel
"Fashion Week in Mailand: Ja, wo sprinten sie denn?",https://www.spiegel.de/stil/fashion-week-in-mailand-herbst-winter-2022-der-laufsteg-als-laufstrecke-a-01bc3829-b343-4ca3-be3e-877cfe8ace23,24022022_17:42 ,Spiegel
"WM-Playoffs: Polen, Schweden und Tschechien wollen nicht in Russland spielen",https://www.spiegel.de/sport/fussball/polen-schweden-und-tschechien-wollen-keine-wm-playoffs-in-russland-spielen-a-93489ef3-f11b-4e61-bec1-8618dbf4c839,24022022_17:41 ,Spiegel
"Hamburger Hafen: Hinter Bananen versteckt – Zoll stellt 2,6 Tonnen Kokain sicher",https://www.spiegel.de/panorama/justiz/hamburger-hafen-zoll-stellt-2-6-tonnen-kokain-sicher-a-a0d28e67-6bf7-4897-b54b-2424fb3a73c6,24022022_17:34 ,Spiegel
Unterstützung der Ukraine: Bundeswehr steht aus Sicht von Heeresinspekteur »mehr oder weniger blank da«,https://www.spiegel.de/politik/deutschland/ukraine-invasion-bundeswehr-steht-laut-heeresinspekteur-mehr-oder-weniger-blank-da-a-e5bdc1f4-e9d3-472f-9ed7-beed5aa02eb0,24022022_17:20 ,Spiegel
"Wirtschaftsexperte zum Umgang mit Moskau: »Wenn Russland und China noch enger zusammenrücken, haben wir schlechte Karten«",https://www.spiegel.de/wirtschaft/russland-und-der-krieg-in-der-ukraine-schlimmstenfalls-droht-uns-eine-stagflation-a-373cb34e-6362-486a-a088-cf35a0ec3cf8,24022022_17:07 ,Spiegel
Putins Überfall auf die Ukraine: Warum Deutschland jetzt doch Waffen liefern sollte,https://www.spiegel.de/politik/deutschland/wladimir-putins-ueberfall-auf-die-ukraine-warum-deutschland-jetzt-doch-waffen-liefern-sollte-kommentar-a-4668a4f7-895b-405f-aff8-ea7cac8ab2de,24022022_16:43 ,Spiegel
Bundeswehroffizier unter Terrorverdacht: Ermittler fanden bei Franco A. Hakenkreuz-Abzeichen und Waffen,https://www.spiegel.de/panorama/justiz/franco-a-prozess-gegen-bundeswehr-offizier-ermittler-fanden-hakenkreuz-abzeichen-a-4d3b8ea5-ecd2-46cc-b8fc-8784d27bfe4e,24022022_16:39 ,Spiegel
Wichtigste Benzinquelle: So sehr hängen deutsche Autos am russischen Öl,https://www.spiegel.de/auto/russland-greift-ukraine-an-benzin-und-diesel-nachschub-fuer-autofahrer-in-gefahr-a-7b7a2c7c-3094-4cd6-8670-45b24a34eab6,24022022_16:34 ,Spiegel
Krieg in der Ukraine: So will Europa auf Putins Angriff reagieren,https://www.spiegel.de/politik/deutschland/sanktionen-gegen-russland-wegen-ukraine-invasion-so-will-die-eu-auf-putins-angriff-reagieren-a-c417d920-fff2-43ac-bb04-fd768e97ee34,24022022_16:27 ,Spiegel
Stimmenfang-Podcast: Die Vergessenen der Pandemie,https://www.spiegel.de/politik/deutschland/schattenfamilien-in-der-corona-pandemie-die-vergessenen-a-d2beb870-3c54-4d2e-b0bf-ee9672435a16,24022022_16:21 ,Spiegel
Drohende Energieknappheit: Habeck plant nationale Kohlereserve,https://www.spiegel.de/wirtschaft/soziales/robert-habeck-kuendigt-kohlereserve-an-a-398fd8e9-8da5-4e4b-974e-6a603cdc6db4,24022022_16:16 ,Spiegel
Englische Grafschaft South Yorkshire: Diebe erbeuten Schmuck von »The Crown«,https://www.spiegel.de/panorama/justiz/the-crown-diebe-erbeuten-schmuck-von-dreharbeiten-in-grossbritannien-a-f45ee3de-9f6d-4390-ae5b-99602dca1d91,24022022_16:05 ,Spiegel
Karneval im TV nach Putins Angriff: Wenn an Weiberfastnacht der Krieg beginnt,https://www.spiegel.de/kultur/tv/karneval-wie-wdr-zdf-und-radio-koeln-auf-den-ukrainekrieg-reagieren-a-d2f503be-5882-4c13-be8d-a3a6a74ef4b9,24022022_16:01 ,Spiegel
Kampfhandlungen im Sperrgebiet: Ukrainische Soldaten stellen sich in Tschernobyl russischen Truppen entgegen,https://www.spiegel.de/ausland/tschernobyl-ukraine-meldet-eindringen-russischer-truppen-in-sperrzone-a-815c08db-fcf9-4391-979b-363341276e2d,24022022_15:54 ,Spiegel
»Blue Fire«-Achterbahn: Europa-Park stoppt Zusammenarbeit mit Nord Stream 2,https://www.spiegel.de/wirtschaft/unternehmen/rust-europa-park-stoppt-zusammenarbeit-mit-nord-stream-2-blue-fire-umbenannt-a-e617823f-6864-4f44-a0bc-4de155a8cec9,24022022_15:45 ,Spiegel
Gefälschter Impfausweis: Ehemaliger Werder-Trainer Anfang muss 36.000 Euro Strafe zahlen,https://www.spiegel.de/panorama/justiz/markus-anfang-ex-trainer-von-werder-bremen-muss-wegen-gefaelschtem-impfausweis-36-000-euro-zahlen-a-cbfe92b8-8fd1-4f57-b6ae-db7c762c114a,24022022_15:45 ,Spiegel
"Russlands Angriff auf die Ukraine: »Sie werden jetzt versuchen, strategisch wichtige Ziele einzunehmen«",https://www.spiegel.de/ausland/sicherheitsexperte-carlo-masala-ueber-den-russischen-angriffskrieg-putin-bestimmt-die-eskalationsspirale-a-2894c3c2-d947-4eb0-a269-d5c4e8213075,24022022_15:39 ,Spiegel
Gas-Lobbyist: Ex-Kanzler Schröder fordert Putin zum Beenden der Invasion auf,https://www.spiegel.de/politik/deutschland/ukraine-gerhard-schroeder-fordert-wladimir-putin-zum-beenden-der-invasion-auf-a-75dcb51d-7890-4305-8911-543e3b1b4c18,24022022_15:33 ,Spiegel
Flucht vor Putins Raketen: »Der Krieg hat begonnen«,https://www.spiegel.de/ausland/russland-und-der-einmarsch-in-die-ukraine-die-massenflucht-beginnt-a-9f9aa981-7854-4394-95f6-a0454689d747,24022022_15:25 ,Spiegel
Pekings Haltung zum Ukrainekrieg: Warum China Putin jetzt zur Seite springt,https://www.spiegel.de/ausland/china-und-der-krieg-in-der-ukraine-warum-peking-putin-jetzt-zur-seite-springt-a-157da3d9-5af8-4721-86b7-c5a6aa9bcbc1,24022022_15:24 ,Spiegel
"Österreichs Kanzler über Gespräch mit Selenskyj: »Er meldet sich als Präsident, ohne zu wissen, wie lange er noch am Leben ist«",https://www.spiegel.de/ausland/ukraine-krieg-karl-nehammer-berichtet-von-dramatischem-telefonat-mit-wolodymyr-selenskyj-a-b8f3eca9-e482-498c-9b5e-d66db77f7c9b,24022022_15:19 ,Spiegel
Motorola Edge 30 Pro im Test: Zu schnell für die Mittelklasse,https://www.spiegel.de/netzwelt/gadgets/motorola-edge-30-pro-im-test-zu-schnell-fuer-die-mittelklasse-a-6a207d5f-ae4a-43f3-8cf2-d6c30499d99c,24022022_15:08 ,Spiegel
Umstrittenes Joint Venture in Lingen: Russischer Einstieg in deutsche Atomfabrik vorerst geplatzt,https://www.spiegel.de/wirtschaft/unternehmen/lingen-einstieg-von-rosatom-in-deutsche-atomfabrik-vorerst-geplatzt-a-f355e411-7635-4a44-8d4f-c9c9061888fb,24022022_15:08 ,Spiegel
Drohnen werfen Saatgut im Outback ab: So bekämpft Australien die Klimakrise,https://www.spiegel.de/wissenschaft/mensch/australiens-klimakaempfer-drohnen-pflanzen-baeume-a-cc899152-6121-4552-8f95-6319bf35b17c,24022022_15:01 ,Spiegel
