Titel,Date_Info,URL,Overline,Breadcrumb,author,detailed_informations,Zugriff_Datum,News_page
Merz hält Maaßen für Randerscheinung in der CDU,21012022_09:01,https://www.sueddeutsche.de/politik/parteien-merz-haelt-maassen-fuer-randerscheinung-in-der-cdu-dpa.urn-newsml-dpa-com-20090101-220121-99-794956,Parteien,dpa,,,22012022,Sueddeutsche
Sag beim Abstieg leise Service,21012022_09:00,https://www.sueddeutsche.de/panorama/mitten-in-kolumne-kurioses-jochberg-madrid-berlin-1.5511300,"SZ-Kolumne ""Mitten in ...""",,"Von Thomas Balbierer, Max Fluder und Karin Janker","Wenn ein dänischer Tourist in den bayerischen Voralpen wandern geht, kann es schon mal das ein oder andere Missverständnis geben. Drei Anekdoten aus Deutschland und Europa.
                        
                            Von Thomas Balbierer, Max Fluder und Karin Janker",22012022,Sueddeutsche
Ein Imam unter Verdacht,21012022_08:58,https://www.sueddeutsche.de/politik/belgien-molenbeek-ausweisung-islam-1.5511823,Molenbeek,,"Von Josef Kelnberger, Brüssel","Belgien entzieht einem der bekanntesten muslimischen Prediger die Aufenthaltsgenehmigung. Ist er eine Gefahr für die nationale Sicherheit? Über einen Streit, der die Muslime in Belgien noch mehr von der belgischen Gesellschaft entfremden könnte.
                        
                            Von Josef Kelnberger, Brüssel",22012022,Sueddeutsche
Schnee und Eis: Mehrere Unfälle wegen glatter Straßen,21012022_08:58,https://www.sueddeutsche.de/panorama/schnee-und-eis-mehrere-unfaelle-wegen-glatter-strassen-1.5512174,,,,"Video
                    
                    
                        Schnee und Glätte haben einigen Autofahrern zu schaffen gemacht. Mehrere Verletzte und gesperrte Straßen waren die Folge.",22012022,Sueddeutsche
Zverev ohne Satzverlust im Achtelfinale - Osaka ist raus,21012022_08:58,https://www.sueddeutsche.de/sport/tennis-australian-open-zverev-eregebnisse-1.5512170,Australian Open,,,"Der Olympiasieger hadert im Match gegen Radu Albot - gewinnt aber am Ende klar. Titelverteidigerin Naomi Osaka vergibt zwei Matchbälle, das deutsche Doppel Krawietz/Mies steht in der nächsten Runde.",22012022,Sueddeutsche
"""Squid Game"" bekommt zweite Staffel",21012022_08:58,https://www.sueddeutsche.de/leben/leute-squid-game-bekommt-zweite-staffel-dpa.urn-newsml-dpa-com-20090101-220121-99-794861,Leute,dpa,,,22012022,Sueddeutsche
Der goldene Schnitt,21012022_08:58,https://www.sueddeutsche.de/stil/comfort-food-barbecue-hasselback-ofenkartoffel-rezept-1.5512168,Eigener Herd,,Von Marten Rolff,"Eine Ofenkartoffel ist an sich schon etwas Wunderbares. Wer sie vor dem Garen noch fächerförmig aufschneidet, hat eine schwedische Hasselback Potato. Würzig, cremig, knusprig - kurzum: die Königin des Comfort Food.
                        
                            Von Marten Rolff",22012022,Sueddeutsche
Graues Winterwetter am Wochenende in Nordrhein-Westfalen,21012022_08:52,https://www.sueddeutsche.de/panorama/wetter-offenbach-am-main-graues-winterwetter-am-wochenende-in-nordrhein-westfalen-dpa.urn-newsml-dpa-com-20090101-220121-99-795070,Wetter - Offenbach am Main,dpa,,,22012022,Sueddeutsche
Trübes Winterwetter in Hessen erwartet,21012022_08:50,https://www.sueddeutsche.de/panorama/wetter-offenbach-am-main-truebes-winterwetter-in-hessen-erwartet-dpa.urn-newsml-dpa-com-20090101-220121-99-795036,Wetter - Offenbach am Main,dpa,,,22012022,Sueddeutsche
"Eloy de Jong bei ""The Masked Dancer"" enttarnt",21012022_08:48,https://www.sueddeutsche.de/leben/leute-eloy-de-jong-bei-the-masked-dancer-enttarnt-dpa.urn-newsml-dpa-com-20090101-220120-99-791070,Leute,dpa,,,22012022,Sueddeutsche
"""Es besteht kein Grund zur Larmoyanz""",21012022_08:45,https://www.sueddeutsche.de/politik/nrw-hendrik-wuest-cdu-landtagswahl-klimaschutz-industrie-1.5511984,Hendrik Wüst,,"Interview von Stefan Braun und Christian Wernicke, Düsseldorf","Mehr links? Mehr rechts? Fragen von gestern, meint Hendrik Wüst. Nordrhein-Westfalens Ministerpräsident fordert die Versöhnung von Klimaschutz und Industrie - und erklärt, wohin seine CDU nach der verlorenen Bundestagswahl steuern sollte.
                        
                            Interview von Stefan Braun und Christian Wernicke, Düsseldorf",22012022,Sueddeutsche
Mehr Opposition wagen,21012022_08:44,https://www.sueddeutsche.de/politik/cdu-parteitag-merz-1.5512006,CDU,,"Von Boris Herrmann und Robert Roßmann, Berlin","Beim Parteitag am Samstag soll Friedrich Merz zum neuen CDU-Chef gewählt werden. Der aktuelle Zustand der Partei sei ""ernüchternd"", findet er. Auch die Fraktion müsse einen neuen Modus finden.
                        
                            Von Boris Herrmann und Robert Roßmann, Berlin",22012022,Sueddeutsche
DHfK-Handballer verpflichten El-Tayar als Birlehm-Nachfolger,21012022_08:40,https://www.sueddeutsche.de/sport/handball-leipzig-dhfk-handballer-verpflichten-el-tayar-als-birlehm-nachfolger-dpa.urn-newsml-dpa-com-20090101-220121-99-794792,Handball - Leipzig,dpa,,,22012022,Sueddeutsche
