Titel,Date_Info,URL,Overline,Breadcrumb,author,detailed_informations,Zugriff_Datum,News_page
Nach Tötung von Ehefrau - Flüchtiger auf europäischer Fahndungsliste,2021-12-03 11:10:00,https://www.sueddeutsche.de/muenchen/muenchen-fahndung-totschlag-polizei-europol-1.5479348,Europol,,,"Seit November 2020 sucht die Polizei den Mann wegen Totschlags - nun wurde die Fahndung auf der Europol-Webseite ""Europe's Most Wanted"" mit den meistgesuchten Straftätern Europas veröffentlicht.",03122021,Sueddeutsche
Testpflicht auch für Geimpfte in Restaurants,2021-12-03 11:09:00,https://www.sueddeutsche.de/gesundheit/gesundheit-stuttgart-testpflicht-auch-fuer-geimpfte-in-restaurants-dpa.urn-newsml-dpa-com-20090101-211203-99-240415,Gesundheit - Stuttgart,dpa,,,03122021,Sueddeutsche
Nach Fassadeneinsturz: Explosion vermutlich im Keller,2021-12-03 11:09:00,https://www.sueddeutsche.de/panorama/notfaelle-hamburg-nach-fassadeneinsturz-explosion-vermutlich-im-keller-dpa.urn-newsml-dpa-com-20090101-211202-99-226672,Notfälle - Hamburg,dpa,,,03122021,Sueddeutsche
Parteien entscheiden über Koalitionsvertrag,2021-12-03 11:09:00,https://www.sueddeutsche.de/politik/senat-berlin-parteien-entscheiden-ueber-koalitionsvertrag-dpa.urn-newsml-dpa-com-20090101-211203-99-241433,Senat - Berlin,dpa,,,03122021,Sueddeutsche
Großbrand in Tapetenfabrik - drei Verletzte,2021-12-03 11:08:00,https://www.sueddeutsche.de/panorama/braende-grossbrand-in-tapetenfabrik-drei-verletzte-dpa.urn-newsml-dpa-com-20090101-211202-99-236605,Brände,dpa,,,03122021,Sueddeutsche
Handball-EM ohne Drux und Groetzki,2021-12-03 11:07:00,https://www.sueddeutsche.de/sport/handball-handball-em-ohne-drux-und-groetzki-dpa.urn-newsml-dpa-com-20090101-211203-99-241365,Handball,dpa,,,03122021,Sueddeutsche
Ingolstadt meldet 15 Quarantäne-Ausfälle vor Rostock-Spiel,2021-12-03 11:06:00,https://www.sueddeutsche.de/sport/fussball-ingolstadt-meldet-15-quarantaene-ausfaelle-vor-rostock-spiel-dpa.urn-newsml-dpa-com-20090101-211203-99-241389,Fußball,dpa,,,03122021,Sueddeutsche
Nürnberg will Heimflaute gegen Kiel beenden,2021-12-03 11:05:00,https://www.sueddeutsche.de/bayern/fussball-nuernberg-nuernberg-will-heimflaute-gegen-kiel-beenden-dpa.urn-newsml-dpa-com-20090101-211203-99-241139,Fußball - Nürnberg,dpa,,,03122021,Sueddeutsche
Bundeskanzlerin bedankt sich für Merkel-Räucherfigur,2021-12-03 11:05:00,https://www.sueddeutsche.de/leben/buntes-kurort-seiffenerzgeb-bundeskanzlerin-bedankt-sich-fuer-merkel-raeucherfigur-dpa.urn-newsml-dpa-com-20090101-211203-99-241167,Buntes - Kurort Seiffen/Erzgeb.,dpa,,,03122021,Sueddeutsche
Sperrung auf A45: Stau im Berufsverkehr,03122021_09:54,https://www.sueddeutsche.de/wirtschaft/verkehr-luedenscheid-sperrung-auf-a45-stau-im-berufsverkehr-dpa.urn-newsml-dpa-com-20090101-211203-99-239523,Verkehr - Lüdenscheid,dpa,,,03122021,Sueddeutsche
"""Der Clown aus München""",03122021_09:54,https://www.sueddeutsche.de/sport/union-berlin-zingler-kritik-soeder-kimmich-1.5479140,1. FC Union Berlin,,"Von Javier Cáceres, Berlin","Union Berlins Präsident Dirk Zingler ist beim Thema Corona leicht entflammbar. Er kritisiert das ""Vollchaos"", äußert sich zu Rummenigge und Kimmich - und sendet eine weitere süffisante Botschaft Richtung München.
                        
                            Von Javier Cáceres, Berlin",03122021,Sueddeutsche
Ex-Corona-Hotspot Ischgl startet in Skisaison,03122021_09:54,https://www.sueddeutsche.de/bayern/tourismus-ischgl-ex-corona-hotspot-ischgl-startet-in-skisaison-dpa.urn-newsml-dpa-com-20090101-211202-99-233615,Tourismus - Ischgl,dpa,,,03122021,Sueddeutsche
Archäologen finden Azteken-Altar,03122021_09:53,https://www.sueddeutsche.de/panorama/archaeologen-finden-azteken-altar-1.5479346,,,,"Video
                    
                    
                        Eine Familie soll ihn vor etwa 500 Jahren errichtet haben, um Zeugnis abzulegen vom Ende der Azteken-Zivilisation.",03122021,Sueddeutsche
Anklage: Mann in Dresden in Wohnung gelockt und misshandelt,03122021_09:51,https://www.sueddeutsche.de/panorama/kriminalitaet-dresden-anklage-mann-indresden-in-wohnung-gelockt-und-misshandelt-dpa.urn-newsml-dpa-com-20090101-211203-99-241327,Kriminalität - Dresden,dpa,,,03122021,Sueddeutsche
Angela Merkel: Wie blicken Sie auf die Amtszeit der Kanzlerin?,03122021_09:50,https://www.sueddeutsche.de/politik/angela-merkel-zapfenstreich-kanzlerschaft-1.5479340,Leserdiskussion,,,"Finanzkrise, Eurokrise, Flüchtlingskrise und schließlich Corona: Als Krisenkanzlerin musste Angela Merkel Deutschland durch schwere Zeiten führen. Nach 16 Jahren im Amt wurde sie am Donnerstagabend mit einem großen Zapfenstreich geehrt.",03122021,Sueddeutsche
"Man-United-Coach Rangnick über Haaland-Klausel: ""Nonsens""",03122021_09:50,https://www.sueddeutsche.de/sport/fussball-man-united-coach-rangnick-ueber-haaland-klausel-nonsens-dpa.urn-newsml-dpa-com-20090101-211203-99-241311,Fußball,dpa,,,03122021,Sueddeutsche
Nach Tötung von Ehefrau: Flüchtiger auf Fahndungsliste,03122021_09:47,https://www.sueddeutsche.de/bayern/kriminalitaet-muenchen-nach-toetung-von-ehefrau-fluechtiger-auf-fahndungsliste-dpa.urn-newsml-dpa-com-20090101-211203-99-240957,Kriminalität - München,dpa,,,03122021,Sueddeutsche
"Wieler: ""Wir haben keine Zeit zu verlieren - keinen einzigen Tag""",03122021_09:44,https://www.sueddeutsche.de/politik/news-zum-coronavirus-spahn-wieler-rki-neuinfektionen-inzidenz-1.5475585,Meldungen zum Coronavirus,,Nachrichten aus Deutschland,"Trotz sinkender Inzidenzen in den vergangenen Tagen mahnt der Präsident des Robert-Koch-Instituts zur Vorsicht. Baden-Württemberg führt eine Personen-Obergrenze bei Großveranstaltungen ein. 
                        
                            Nachrichten aus Deutschland",03122021,Sueddeutsche
Gesundheitsämter bei Corona-Zahlen teils erheblich im Verzug,03122021_09:42,https://www.sueddeutsche.de/gesundheit/gesundheit-magdeburg-gesundheitsaemter-bei-corona-zahlen-teils-erheblich-im-verzug-dpa.urn-newsml-dpa-com-20090101-211203-99-241220,Gesundheit - Magdeburg,dpa,,,03122021,Sueddeutsche
Falschfahrer ruft selbst bei der Polizei an,03122021_09:42,https://www.sueddeutsche.de/wirtschaft/verkehr-freiburg-im-breisgau-falschfahrer-ruft-selbst-bei-der-polizei-an-dpa.urn-newsml-dpa-com-20090101-211203-99-241184,Verkehr - Freiburg im Breisgau,dpa,,,03122021,Sueddeutsche
Schalke-Trainer Grammozis positiv auf Corona getestet,03122021_09:41,https://www.sueddeutsche.de/sport/fussball-schalke-trainer-grammozis-positiv-auf-corona-getestet-dpa.urn-newsml-dpa-com-20090101-211203-99-241195,Fußball,dpa,,,03122021,Sueddeutsche
