Titel,Date_Info,URL,Overline,Breadcrumb,author,detailed_informations,Zugriff_Datum,News_page,Kategorie
Hamburger Judo Team verpasst erneuten Titeltriumph,15112021_09:16,https://www.sueddeutsche.de/sport/judo-hamburg-hamburger-judo-team-verpasst-erneuten-titeltriumph-dpa.urn-newsml-dpa-com-20090101-211115-99-02774,Judo - Hamburg,dpa,,,15112021,Sueddeutsche,sport
Mehrere Liter Diesel aus Lkw ausgelaufen: Diebstahl-Verdacht,15112021_09:12,https://www.sueddeutsche.de/panorama/kriminalitaet-berlin-mehrere-liter-diesel-aus-lkw-ausgelaufen-diebstahl-verdacht-dpa.urn-newsml-dpa-com-20090101-211115-99-02744,Kriminalität - Berlin,dpa,,,15112021,Sueddeutsche,panorama
La Palma: Erstes Todesopfer durch Vulkanausbruch,15112021_09:10,https://www.sueddeutsche.de/panorama/la-palma-erstes-todesopfer-durch-vulkanausbruch-1.5464362,,,,"Video
                    
                    
                        Seit acht Wochen schon spuckt der Vulkan auf der Kanareninsel La Palma Lava und Asche. Jetzt hat es ein erstes Todesopfer gegeben. Ein 72-Jähriger wurde tot in seinem Haus in der Sperrzone gefunden.",15112021,Sueddeutsche,panorama
"Neues ""Geld""-Magazin",15112021_09:07,https://zeitung.sueddeutsche.de/webapp/issue/sa/sa-2021-11-13/,Digitale Sonderausgabe,,,"Wie legen junge Menschen Geld an, was machen sie anders als die Älteren? Wie nachhaltig sind grüne ETFs wirklich? Was tun mit dem Heim der Eltern? Antworten finden Sie im Magazin ""GELD"" der Süddeutschen Zeitung.",15112021,Sueddeutsche,webapp
Männer durch Schüsse verletzt: Täter weiter flüchtig,15112021_09:01,https://www.sueddeutsche.de/panorama/kriminalitaet-hamburg-maenner-durch-schuesse-verletzt-taeter-weiter-fluechtig-dpa.urn-newsml-dpa-com-20090101-211114-99-995345,Kriminalität - Hamburg,dpa,,,15112021,Sueddeutsche,panorama
"Deutsche U21 will ""anderes Gesicht zeigen"" - Trio fehlt",15112021_09:01,https://www.sueddeutsche.de/sport/fussball-deutsche-u21-will-anderes-gesicht-zeigen-trio-fehlt-dpa.urn-newsml-dpa-com-20090101-211115-99-02530,Fußball,dpa,,,15112021,Sueddeutsche,sport
Alterstechnologie: Start-ups treffen sich in Chemnitz,15112021_08:59,https://www.sueddeutsche.de/wirtschaft/unternehmen-chemnitz-alterstechnologie-start-ups-treffen-sich-in-chemnitz-dpa.urn-newsml-dpa-com-20090101-211115-99-02612,Unternehmen - Chemnitz,dpa,,,15112021,Sueddeutsche,wirtschaft
"Corona-Inzidenz in Brandenburg bei 376,1",15112021_08:58,https://www.sueddeutsche.de/gesundheit/gesundheit-potsdam-corona-inzidenz-in-brandenburg-bei-3761-dpa.urn-newsml-dpa-com-20090101-211115-99-02603,Gesundheit - Potsdam,dpa,,,15112021,Sueddeutsche,gesundheit
Thunberg: Kleine Fortschritte sind wie Niederlage,15112021_08:57,https://www.sueddeutsche.de/politik/gipfel-thunberg-kleine-fortschritte-sind-wie-niederlage-dpa.urn-newsml-dpa-com-20090101-211115-99-02488,Gipfel,dpa,,,15112021,Sueddeutsche,politik
Geldautomaten-Sprenger laut LKA mehrheitlich ohne Beute,15112021_08:56,https://www.sueddeutsche.de/panorama/kriminalitaet-duesseldorf-geldautomaten-sprenger-laut-lka-mehrheitlich-ohne-beute-dpa.urn-newsml-dpa-com-20090101-211115-99-02581,Kriminalität - Düsseldorf,dpa,,,15112021,Sueddeutsche,panorama
Im Auftrag der Regierung: Charles in Jordanien und Ägypten,15112021_08:53,https://www.sueddeutsche.de/leben/leute-im-auftrag-der-regierung-charles-in-jordanien-und-aegypten-dpa.urn-newsml-dpa-com-20090101-211115-99-02106,Leute,dpa,,,15112021,Sueddeutsche,leben
EU-Außenminister beraten über Sanktionen wegen Belarus,15112021_08:53,https://www.sueddeutsche.de/panorama/eu-aussenminister-beraten-ueber-sanktionen-wegen-belarus-1.5464349,,,,"Video
                    
                    
                        Die EU zieht die Daumenschrauben gegen Schleuser an, die gezielt Menschen aus Krisengebieten nach Belarus bringen. Tausende Migranten wollen illegal die EU-Außengrenze überqueren. Aber was tun mit den Menschen, die seit Tagen bei Kälte in den Wäldern ausharren?",15112021,Sueddeutsche,panorama
