02-Jan-22 15:01:27 - INFO - Log file /Users/jan/Documents/Python_Projects/Bachelorthesis/log/02-Jan-22_15:01:27.log created
02-Jan-22 15:01:27 - INFO - *** Starting Scraper ***
02-Jan-22 15:01:27 - INFO - get list of csv Backlog
02-Jan-22 15:01:27 - INFO - 305 files in csv Backlog...
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_26112021_17_25_47_Page1.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_23112021_15_16_25_Page1.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_26122021_12_19_43_Page1.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Spiegel_21112021_08_51_39.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_21112021_08_50_47_Page4.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche12_01012022_13_19_34.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche14_31122021_17_45_20.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Spiegel_04122021_12_44_45.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_25122021_13_53_11_Page2.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_18122021_12_01_13_Page4.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche14_02012022_13_11_26.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche7_02012022_13_10_50.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche3_31122021_17_44_23.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Spiegel_23122021_18_09_15.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_02122021_12_16_59_Page1.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_03122021_12_01_50_Page4.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche20_02012022_13_11_57.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_25122021_13_53_08_Page1.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Spiegel_28112021_17_50_38.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_10122021_13_35_41_Page1.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche16_01012022_13_19_55.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_09122021_16_30_43_Page1.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche11_02012022_13_11_11.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche16_02012022_13_11_37.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_25112021_15_41_28_Page4.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche19_28122021_14_20_11.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche20_31122021_17_45_52.csv
