30-Dec-21 12:07:45 - INFO - Log file /Users/jan/Documents/Python_Projects/Bachelorthesis/log/30-Dec-21_12:07:45.log created
30-Dec-21 12:07:45 - INFO - *** Starting Scraper ***
30-Dec-21 12:07:45 - INFO - get list of csv Backlog
30-Dec-21 12:07:45 - INFO - 131 files in csv Backlog...
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche_26112021_17_25_47_Page1.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche_23112021_15_16_25_Page1.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche_26122021_12_19_43_Page1.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Spiegel_21112021_08_51_39.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche_18122021_12_01_13_Page4.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Spiegel_23122021_18_09_15.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche_02122021_12_16_59_Page1.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche_03122021_12_01_50_Page4.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche_25122021_13_53_08_Page1.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Spiegel_28112021_17_50_38.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche_09122021_16_30_43_Page1.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche_25112021_15_41_28_Page4.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche19_28122021_14_20_11.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche_18122021_12_01_01_Page1.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche9_29122021_12_02_20.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche_26112021_17_25_53_Page3.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche3_28122021_14_18_48.csv
